sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0
0,motif1_nocable,1,False,1.132667891679631,0.9164066876116148,70.09354985437047,423.3819513438803,0.0,0.16450935,1531.07606098,1080.66493217,0.0,48.4552515,,,1.7606510582516988,8.78144421673086,1.7967696402055529,32.795359939138166,3.0039297715674387,0.5173723449359587,1.1792306519315512,1.9649560167330369
1,motif1_nocable,1,False,0.9855499135161208,1.0745316705170704,51.28650352417664,1071.0167946716845,0.0,0.19353045,2121.03374898,1853.70137539,0.0,76.91389918,,,1.2176471251228556,2.2611466617995952,1.4772371014556176,4.4739330724508495,1.4270553580875571,1.0082388921581538,1.0856491551721186,1.1136255294278894
2,motif1_nocable,1,False,1.3400912154841187,1.245082139763641,24.77523559818872,1014.6805873443031,0.0,0.07164586,3919.17726486,3844.36638007,0.0,198.50185392,,,0.4394968429012948,0.4658875519257447,0.1912313693472628,0.2253167661643185,0.4721779435177791,0.4068157422848107,0.43821684199149,0.435202384509497
3,motif1_nocable,1,False,1.3810679026523671,0.8360845920653458,10.023243819290409,411.287302846198,0.0,0.08275245,3091.7526618,2562.04010954,0.0,144.76779284,,,3.603515460411272,9.588357088949246,0.5328229246406035,20.09647303497665,7.322108728033925,-0.1150778072113818,4.132006122317565,4.254951362771695
4,motif1_nocable,1,False,1.3619466333233523,0.8446985658837435,78.5148751827749,645.3068570420692,0.0,0.10312935,2974.83251412,2483.02299437,0.0,137.89335577,,,3.605275603456252,14.682242403947203,0.7509767044416381,24.598177808676965,7.269271969404182,-0.0587207624916767,3.35662982585335,6.364485448075003
5,motif1_nocable,1,False,1.39375564584122,0.9645382088336526,39.29929017511889,650.13486711364,0.0,0.07980605,2373.56086858,2314.87844449,0.0,135.42458649,,,0.49604400538037,0.6702337494649421,0.2437709368334805,0.3384803789987246,0.538456659419979,0.4536313513407609,0.48322946987723675,0.48782929624641136
6,motif1_nocable,1,False,1.0458843848245725,1.3924256781274855,59.390746848858974,335.6431910360479,0.0,0.01808548,5766.30127121,5761.15838103,0.0,311.73799868,,,0.1116132857719196,0.1330150342672588,0.0123369354370179,0.0176794963759264,0.1205534261601522,0.1026731453836869,0.1121682810280296,0.11185788190910688
7,motif1_nocable,1,False,1.1051743750310667,0.8982849306069711,3.513928814144735,510.6304507259392,0.0,0.19869743,1685.15351281,1057.12081326,0.0,47.49368677,,,2.022951393019334,7.509577389602954,2.426983266901009,28.09566853254268,3.42830912353301,0.6175936625056581,1.745187487402383,1.3014411806456532
8,motif1_nocable,1,False,1.2290889662473807,1.0626103493622403,37.14573134632282,291.9947568149433,0.0,0.04979386,1425.74152811,1402.99289742,0.0,82.97345121,,,0.3074449628565359,0.332685879518201,0.093564790209745,0.1056623995128814,0.330444478688156,0.2844454470249156,0.3057317713099338,0.30577790718970255
9,motif1_nocable,1,False,1.3960864483195214,1.1543603035814332,26.695973985510403,794.0307673120319,0.0,0.06502491,3011.27955977,2955.05823165,0.0,171.17003671,,,0.3995664507704445,0.4291858737577045,0.1580500944990881,0.1800657493473623,0.4292460590033393,0.3698868425375499,0.39718061432988616,0.3974065766688172
10,motif1_nocable,1,False,1.3303242445588015,1.36120770956577,63.46640587651751,1126.5637907216717,0.0,0.05987585,5551.11347271,5494.68174625,0.0,275.29506552,,,0.3680958636175028,0.4002952313372668,0.1341468358466094,0.1622733686705504,0.3958718200218231,0.3403199072131826,0.3662712797976996,0.3676396390441846
11,motif1_nocable,1,False,0.8325124545307022,0.8847259936383861,29.18255322028708,840.154267297213,0.0,0.0,1448.33964432,1448.33964432,0.0,84.33511769,,,2.462767778479327e-15,1.0726212552408218e-14,-5.5589624603692624e-14,7.051902094569523e-13,1.283685478253181e-07,-1.2836854289978254e-07,2.5291055750501607e-15,2.078181162553252e-15
12,motif1_nocable,1,False,1.004029449079004,1.1702598024458897,15.93358165681707,371.5905359097159,0.0,0.05572782,2382.99975603,2347.5474054,0.0,109.76335437,,,0.3464854535092308,0.4341002932526316,0.1189184895091517,0.1746891013802296,0.3752548426478464,0.3177160643706153,0.3480597281790269,0.3360583101214789
13,motif1_nocable,1,False,1.014659403426368,1.0459236417132003,86.1541921505299,1133.2157778873634,0.0,0.21206618,1946.08693024,1642.2144937,0.0,64.17817381,,,1.2999024655598956,2.1544938543217533,1.6805091720205112,4.166640643894099,1.5118840455674636,1.0879208855523277,1.101107065362896,1.2803949883308134
14,motif1_nocable,1,False,1.055059995429664,0.9585699331039822,32.01996503095957,736.4653392544989,0.0,0.21810787,1098.09875465,860.37416304,0.0,34.30569853,,,1.3424502464659602,2.161159939318656,1.7840106772145286,3.887190123851599,1.5524716589773315,1.132428833954589,1.242135877669174,1.1937303735042504
15,motif1_nocable,1,False,0.8114343916796456,1.2877445599473538,19.24802957018771,1036.4561109416452,0.0,0.07780974,4479.56177072,4374.73339109,0.0,249.69946831,,,0.7246956018647772,4.5395905842054205,0.2361583741998572,5.27143348267053,1.1280435100083552,0.3213476937211992,0.7530790572801561,0.467393946397846
16,motif1_nocable,1,False,1.192472023608482,0.9551179101630852,89.6051561631274,755.8603513002487,0.0,0.16730608,1520.20736882,1300.89548333,0.0,64.89769606,,,1.0478974402363923,1.600968528076668,1.0894136173209057,2.1750871953981115,1.1882902808539255,0.9075045996188592,1.0466788270715133,0.9201495127573791
17,motif1_nocable,1,False,1.2737283721591004,1.2975054378939233,13.298250782554977,744.8899660304189,0.0,0.04952576,4418.07851221,4383.47258082,0.0,220.47736151,,,0.3050544165410396,0.3387381334537691,0.0921269523254852,0.1109570538961809,0.3280753075185225,0.2820335255635567,0.3052111396253001,0.30250182967160344
18,motif1_nocable,1,False,1.2708778518238038,1.1312035367043405,47.40438867377581,771.6114427367982,0.0,0.08465196,2384.82791326,2299.60870169,0.0,124.96415642,,,0.5191324426615644,0.5388730097207092,0.2668230985345728,0.3159748184985929,0.5579489989390354,0.4803158863840935,0.5139182076113439,0.513135816119239
19,motif1_nocable,1,False,1.032559187992511,0.870018104948089,12.125434595161344,500.3367979758134,0.0,0.24359403,1894.74164374,860.6363451,0.0,36.75806048,,,2.4942546697845644,9.70281444349146,3.914471607628539,52.161929390672576,4.256914787301388,0.7315945522677408,2.2617168125651523,1.472646003264373
