motif,sf_wale,sf_course,knit_dir,pressure,crown_height,mean_stress,max_stress,verts_path,stress_path,H_fit_x0,H_binned_x0,r_x0,H_fit_y0,H_binned_y0,r_y0,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
1,0.9,0.9,0.0,1000.0,0.34210287,1099.6597809,1471.49521946,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.900_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.900_stress.csv,1.3169288365394862,1.4269711518575665,0.0538440520821015,1.4381720038081847,1.4032482073184005,0.05545665749006085,1.0276650739060365,1.2910026618221584,1.2562484554575803,179.86429609109118,1.2910011853267966,1.027666819081046,1.027666819081046,1.2910011853267966,1.1593338678640974,35,0.15143665772424586,1058.4373666666663,1314.7979975609758,810.417076923077,1447.80716097561,False
1,0.9,0.92,0.0,1000.0,0.32864791,1151.53388314,1573.49630943,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.920_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.920_stress.csv,1.2882340868783273,1.4089115229134084,0.05392689690063423,1.414307647021126,1.1905473858494633,0.05534090010449654,1.0003638215386943,1.2971501975077366,1.2966784379632452,179.89188406261445,1.2971491412689138,1.0003651087636614,1.0003651087636614,1.2971491412689138,1.1487570095232154,35,0.14304024073162774,1057.59041,1389.0958595238094,738.84123,1525.5718666666667,False
1,0.9,0.9400000000000001,0.0,1000.0,0.31470052,1221.5722764,1674.18704744,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.940_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.940_stress.csv,1.2586155886082862,1.3881798267891563,0.05401053275705764,1.3840012040481424,1.1802522229030856,0.05524480946210011,0.972233593925517,1.2949486767144314,1.3319316312512008,179.9198497396365,1.2949480455033187,0.9722344029576371,0.9722344029576371,1.2949480455033187,1.1335911353199741,35,0.13472451721223666,1095.5183175000002,1471.5033545454546,669.1270824999999,1608.4514795454545,False
1,0.9,0.96,0.0,1000.0,0.3003195,1308.56962533,1773.57210586,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.960_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.960_stress.csv,1.2275626245294156,1.3644473890952082,0.05409649972687065,1.348097734000716,1.4419549679233015,0.055168542143125894,0.9433964676641327,1.283951729623992,1.3609884853640384,179.94750511442967,1.2839514438805257,0.9433968712855626,0.9433968712855626,1.2839514438805257,1.1136740986440623,35,0.1265823412713538,1170.7933439024391,1561.8305204545454,602.1810414634147,1694.5409295454547,False
1,0.9,0.98,0.0,1000.0,0.28556683,1409.01659055,1872.0459042,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.980_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c0.980_stress.csv,1.1948159938787457,1.3374084172533411,0.05418295770992086,1.3072191221324772,1.2238365698604141,0.055111424725852697,0.9140051756008714,1.2640888495976443,1.3830215444531004,179.97472229748183,1.26408878148728,0.9140053020554935,0.9140053020554935,1.26408878148728,1.089047012599258,35,0.11867865066086623,1256.6165365853658,1657.4576295454544,530.5297658536585,1782.6554545454544,False
1,0.9,1.0,0.0,1000.0,0.27050889,1520.12073576,1970.3950671,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.000_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.000_stress.csv,1.1601904660305788,1.3068180027392355,0.054266049049688646,1.2618353155188744,1.2049253487837241,0.05507202940202141,0.8842348106213054,1.235614880210937,1.3973832124328325,0.0013200375294957212,1.2356148800245015,0.8842348160045809,0.8842348160045809,1.2356148800245015,1.0599248454161212,35,0.11104340807029113,1357.6167829268293,1757.7602000000002,459.3556341463415,1871.1536244444442,False
1,0.9,1.02,0.0,1000.0,0.25521922,1641.79706992,2069.80431786,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.020_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.020_stress.csv,1.1235338539321231,1.272581273863671,0.054339537643951386,1.2123325248015904,1.1827017322261468,0.05504838010860231,0.8542653065674626,1.1990637173925165,1.4036198218215066,0.02691532140127606,1.199063641332173,0.8542653455193071,0.8542653455193071,1.199063641332173,1.0266645119799895,35,0.10368698229597266,1482.9703634146342,1865.1454488888887,389.66183902439025,1966.4638844444446,False
1,0.9,1.04,0.0,1000.0,0.23978214,1771.75738709,2171.85768184,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.040_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.040_stress.csv,1.0847188928016374,1.1377629428627503,0.05439424906868479,1.1590784740581777,1.3447266578599248,0.05503810976144551,0.8242528732098094,1.1552028534807037,1.401515106622689,0.05066182429976607,1.1552025948183526,0.8242530662004743,0.8242530662004743,1.1552025948183526,0.9897278633452566,35,0.09661658232909227,1620.136292857143,1979.1273244444442,320.7011976190476,2067.2341333333334,False
1,0.9,1.06,0.0,1000.0,0.22429658,1908.96823312,2278.5201342,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.060_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.060_stress.csv,1.043653434189204,1.1006150436636097,0.05441808124277693,1.1024856253715516,1.3067182176752348,0.0550385882486333,0.7942894361049746,1.1049991817735223,1.391179501507916,0.0715156258556533,1.1049986978445858,0.7942898401597251,0.7942898401597251,1.1049986978445858,0.9496443089392484,35,0.08985023931024348,1778.3753999999994,2100.694806666666,262.1808772727273,2175.27278,False
1,0.9,1.08,0.0,1000.0,0.20887919,2054.02295694,2392.07996404,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.080_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.080_stress.csv,1.0003035611058813,1.1512314648333768,0.054397563377196485,1.0430695488371589,1.0906164764602264,0.05504709947272887,0.7643652833436847,1.0495873552849861,1.373148909502547,0.08812334167569702,1.0495866807487033,0.7643658768046032,0.7643658768046032,1.0495866807487033,0.9069763193143354,35,0.08342109963034554,1934.5026999999995,2231.0821311111113,204.24129090909094,2292.6581533333333,False
1,0.9,1.1,0.0,1000.0,0.19366552,2208.21873191,2515.03149893,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.100_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/sf_grid/m1_w0.900_c1.100_stress.csv,0.9546987717881495,1.1074260721696105,0.05432231450204239,0.9814950801701117,1.0501417076185036,0.05506100515574107,0.7343527839829246,0.9902403944225892,1.3484532448448028,0.09903630645669637,0.9902396300708475,0.7343534759850832,0.7343534759850832,0.9902396300708475,0.8622965892027569,35,0.07737780899732467,2100.0422113636364,2371.7119622222217,153.30437499999996,2421.635657777778,False
