sample_id,group,motif,sf_wale,sf_course,pressure,cable_angle,crown_height,cable_tension,mean_stress,L_def_mm,L_flat_mm,L_ratio
151,motif1_cable,1,1.1820259673899989,1.2910910114664405,915.763299362468,23.901080795762088,0.06589244,0.0,4249.24398326,3901.8103293535696,1196.27364,3.2616369690747096
153,motif1_cable,1,1.3380032546873002,1.0905998830127002,715.0377283578024,141.5646185450253,0.0772544,0.0,2194.43562402,3907.310278020631,1196.27364,3.266234536456585
155,motif1_cable,1,1.262151202716652,1.3669841076994296,860.1933752840586,81.35363324397971,0.04726459,0.0,5457.80717263,3887.689391162558,1196.27364,3.2498328652987443
154,motif1_cable,1,1.3249511370006366,0.96332890010979,820.5008531839723,17.847526769445565,0.11579808,97.79450355,1949.47094326,3959.082411385231,1196.27364,3.30951237158852
157,motif1_cable,1,0.9293127940260364,1.2058618789559103,735.4426443631102,32.51137174903227,0.08715491,0.0,3041.8773654,3930.9555701865015,1196.27364,3.2860003252989025
158,motif1_cable,1,1.2264286816294554,0.985593095359219,399.3197822025143,70.01153189760088,0.09137787,0.0,1258.04307839,3920.74692275192,1196.27364,3.277466619386448
152,motif1_cable,1,1.0091033936491225,0.954817586857611,575.2111746336265,19.486882002701293,0.19817051,233.49607746,619.46665757,4147.734519850703,1196.27364,3.467212167151575
160,motif1_cable,1,0.9156284936279292,0.86388905109402,1047.569187086198,98.344845594909,0.0,0.0,1566.49083088,3871.726376752327,1196.27364,3.236488916325472
161,motif1_cable,1,0.8261390893787138,0.827251081990704,300.5785919886113,143.47210164629638,0.0,0.0,2004.63043199,3871.726376752327,1196.27364,3.236488916325472
162,motif1_cable,1,0.8940573735913939,1.2463565869420106,1003.2006570700324,2.3909459818155616,0.09142659,66.37245502,3719.2815399,3921.601540220271,1196.27364,3.2781810190353036
156,motif1_cable,1,1.0052110352678127,0.8775692894889229,244.3541396609159,104.62655742649926,0.21295518,0.0,580.27579727,4270.865807308434,1196.27364,3.5701411988886043
163,motif1_cable,1,0.8964025806212103,1.1711518274541397,691.7465608675714,7.346108297075766,0.09766356,74.68094918,2617.99214014,3932.3451174091615,1196.27364,3.287161888319434
165,motif1_cable,1,1.1242653856583045,0.8163318243292051,510.4767451115653,110.03762012870708,0.0,0.0,2193.37705759,3871.726376752327,1196.27364,3.236488916325472
164,motif1_cable,1,1.0955248726756448,1.323033126565167,949.6776750997908,58.38863877330269,0.0636976,0.0,4721.81224559,3902.601335808902,1196.27364,3.262298194423897
167,motif1_cable,1,1.1889069168414046,1.30049797199334,936.409217348877,176.56685267272334,0.06499663,0.0,4398.70056099,3895.923612587576,1196.27364,3.256716090966927
166,motif1_cable,1,0.8223384225847633,1.3629100927012507,328.3982061496141,101.70714995965707,0.01822492,0.0,5402.03125111,3873.621571919022,1196.27364,3.238073165199078
