sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path
198,motif1_cable,1,True,1.250408294942174,1.033193421943668,48.5086587775978,1169.3050646109546,1.309740969734667,0.15543593,2500.69409603,1789.06048344,278.07940247,98.6092479,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00198_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00198_stress.csv
246,motif1_cable,1,True,1.4608211093346308,1.3151703349686064,19.290858172218712,510.19866024475243,1.3299695879934639,0.03013944,5006.6127479,4992.41920599,0.0,279.74438957,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00246_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00246_stress.csv
247,motif1_cable,1,True,1.067259307401748,0.9956681044641295,86.18589245338768,448.51670882012945,1.3139469874846565,0.15177672,1234.51817616,684.65849174,148.66895023,34.52806014,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00247_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00247_stress.csv
249,motif1_cable,1,True,1.1718113504236265,1.1625573342452586,24.756827654565665,760.7577742303674,1.3963095400700276,0.10159104,2662.23419319,2496.55824324,0.0,134.9849655,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00249_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00249_stress.csv
250,motif1_cable,1,True,1.1814014387946643,1.3273826985362591,38.49443068938342,952.0413911001367,1.2501394869967029,0.05902377,7046.74982198,4827.89386034,512.63824354,257.88246148,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00250_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00250_stress.csv
252,motif1_cable,1,True,0.9103040146493678,1.2981018160669657,10.562892109048285,1029.2199852362278,1.293671923561908,0.07971883,5358.28448412,4452.60576814,212.56265266,255.10297416,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00252_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00252_stress.csv
251,motif1_cable,1,True,1.0931220206998769,0.9661547521681848,55.968036376523415,492.4725790301337,1.3705183628417341,0.17623811,1025.32372304,765.01011045,63.53354269,36.78694355,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00251_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00251_stress.csv
254,motif1_cable,1,True,1.274005577389923,1.3971251480617817,59.01367062978273,471.47978636182626,1.3956748007512034,0.02644353,5916.90614895,5907.28017395,0.0,315.89823861,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00254_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00254_stress.csv
253,motif1_cable,1,True,1.366256233346704,1.411774648643326,12.766712390746173,826.032727898595,1.275572790835476,0.03977345,7614.68149085,6302.20000167,349.5097602,338.43717484,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00253_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00253_stress.csv
255,motif1_cable,1,True,1.370941846746708,0.9496053539884934,55.05307651328352,1193.1061800570396,1.3365233903409266,0.14765143,2841.47862231,2361.29074924,136.5080604,142.42919314,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00255_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00255_stress.csv
