sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,T_wale_x0,T_course_y0,von_mises_x0,von_mises_y0,sim_failed
0,motif1_nocable,1,False,1.132667891679631,0.9164066876116148,70.09354985437047,423.3819513438803,1.325,0.16450935,1531.07606098,1080.66493217,0.0,48.4552515,,,1.1015782793778943,0.0543460927910935,0.889177006157166,0.0563161495332901,1016.6216244444444,-70.62151428571428,1011.5994088888888,1116.065924489796,False
1,motif1_nocable,1,False,0.9855499135161208,1.0745316705170704,51.28650352417664,1071.0167946716845,1.325,0.19353045,2121.03374898,1853.70137539,0.0,76.91389918,,,1.3785582330632298,0.0541424653711287,1.1343780484388282,0.0574191168716047,573.9382727272728,2107.4995808510644,1967.097820454545,1897.6850765957447,False
2,motif1_nocable,1,False,1.3400912154841187,1.245082139763641,24.77523559818872,1014.6805873443031,1.325,0.07164586,3919.17726486,3844.36638007,0.0,198.50185392,,,0.6061466183774243,0.052876203976798,0.5416975436525646,0.0553156245330374,2635.6759369565216,4459.570695918367,3854.744136956521,3882.710828571429,False
3,motif1_nocable,1,False,1.3810679026523671,0.8360845920653458,10.023243819290409,411.287302846198,1.325,0.08275245,3091.7526618,2562.04010954,0.0,144.76779284,,,2.2580844502015296,0.0863014885306635,13.99143799989228,0.1555827112649661,2287.642195833333,-173.9734096153846,2554.455591666667,2395.360673076923,True
4,motif1_nocable,1,False,1.3619466333233523,0.8446985658837435,78.5148751827749,645.3068570420692,1.325,0.10312935,2974.83251412,2483.02299437,0.0,137.89335577,,,8.061450323392283,0.1168637793046756,1.7008148873606612,0.063958490051456,2237.6523130434784,-338.6583150943396,2356.96837826087,2468.137437735849,True
5,motif1_nocable,1,False,1.39375564584122,0.9645382088336526,39.29929017511889,650.13486711364,1.325,0.07980605,2373.56086858,2314.87844449,0.0,135.42458649,,,0.6462360406306661,0.0528436665115015,0.5989590633784935,0.0553513682886281,2531.002945652174,500.2884291666667,2323.738613043479,2315.300691666667,False
6,motif1_nocable,1,False,1.0458843848245725,1.3924256781274855,59.390746848858974,335.6431910360479,1.325,0.01808548,5766.30127121,5761.15838103,0.0,311.73799868,,,0.1448203710322596,0.0528212190490886,0.1345328397820993,0.0552797256446178,1015.3854702127662,6201.094326530613,5763.681582978724,5761.120510204082,True
7,motif1_nocable,1,False,1.1051743750310667,0.8982849306069711,3.513928814144735,510.6304507259392,1.325,0.19869743,1685.15351281,1057.12081326,0.0,47.49368677,,,1.565522121634621,0.0529785522251749,1.3395047917532386,0.0576575226245683,1077.4533866666668,168.6544659574468,1127.2461155555557,924.5328893617022,False
8,motif1_nocable,1,False,1.2290889662473807,1.0626103493622403,37.14573134632282,291.9947568149433,1.325,0.04979386,1425.74152811,1402.99289742,0.0,82.97345121,,,0.3910558594007627,0.0528565522960613,0.3834960681726583,0.0553167247929282,1478.1204456521737,1335.1106571428572,1410.063543478261,1410.904281632653,False
9,motif1_nocable,1,False,1.3960864483195214,1.1543603035814332,26.695973985510403,794.0307673120319,1.325,0.06502491,3011.27955977,2955.05823165,0.0,171.17003671,,,0.5476150788414024,0.0528411251588837,0.492517424342636,0.0552930433919173,2839.7951739130435,3104.298446938775,2970.610989130434,2976.437887755102,False
