group,output,estimator,param,S1,ST,S1_conf,ST_conf
motif1_nocable,H_mean_x0,surrogate,sf_wale,0.01262903856532247,0.25418246375629255,0.03488972375401675,0.08267590117188199
motif1_nocable,H_mean_x0,surrogate,sf_course,0.48643267520303546,0.8454646557983921,0.11940019575661413,0.21108093369255831
motif1_nocable,H_mean_x0,surrogate,knit_dir,0.027421698548558283,0.10206920794345078,0.049842423521352076,0.03967243012483405
motif1_nocable,H_mean_x0,surrogate,pressure,-0.011128397263548324,0.1922354980947602,0.03599651329403596,0.08024827994616632
motif1_nocable,H_mean_y0,surrogate,sf_wale,0.03362115470694331,0.5200437321454777,0.03306589455353994,0.20284426538059663
motif1_nocable,H_mean_y0,surrogate,sf_course,0.32571724988114803,0.7384546247862818,0.10168803577081147,0.14394821344170988
motif1_nocable,H_mean_y0,surrogate,knit_dir,0.06913719815516774,0.45296758893180417,0.11646933964744158,0.1860657396780204
motif1_nocable,H_mean_y0,surrogate,pressure,0.03502776249160841,0.2757941786647176,0.058599070996217605,0.09322366857393702
motif1_nocable,crown_height,surrogate,sf_wale,0.15574470562410986,0.26792744144959135,0.042553787037949,0.033154682871529256
motif1_nocable,crown_height,surrogate,sf_course,0.6138180818607766,0.7309504586164955,0.0634161332873871,0.07763404428428115
motif1_nocable,crown_height,surrogate,knit_dir,-0.0005797281558650502,0.00048703897621842253,0.0014736259983994691,0.00014208318400432774
motif1_nocable,crown_height,surrogate,pressure,0.11194432043198914,0.1207755431678338,0.03026429501907426,0.014412781210572241
motif2_nocable,H_mean_x0,surrogate,sf_wale,0.1297761074543367,0.22532329034714246,0.04868464995192232,0.027361103577971085
motif2_nocable,H_mean_x0,surrogate,sf_course,0.5892286441683807,0.7616922505106605,0.07995875628717744,0.08872912733255925
motif2_nocable,H_mean_x0,surrogate,knit_dir,0.019774113068147126,0.05095152397931863,0.020263712861189265,0.01266448853641122
motif2_nocable,H_mean_x0,surrogate,pressure,0.08108685688325745,0.17261687523556996,0.03434330230301782,0.01923893766389073
motif2_nocable,H_mean_y0,surrogate,sf_wale,0.1304295542760861,0.6755783191501196,0.07236493081918123,0.17676599452228
motif2_nocable,H_mean_y0,surrogate,sf_course,0.20495702622215958,0.6981993430418836,0.0907010108560491,0.2297361562048142
motif2_nocable,H_mean_y0,surrogate,knit_dir,0.01420137765335528,0.3133288056718242,0.0556455333565531,0.1491974792761113
motif2_nocable,H_mean_y0,surrogate,pressure,-0.011294454538828443,0.22728366155466337,0.030249050854968405,0.062192661946905516
motif2_nocable,crown_height,surrogate,sf_wale,0.23655986437892365,0.34687174211052724,0.04848707764248816,0.03884375024863061
motif2_nocable,crown_height,surrogate,sf_course,0.5029951615034952,0.6183901081028682,0.05550591334757949,0.058224752930077825
motif2_nocable,crown_height,surrogate,knit_dir,0.00024443202910264986,0.00037212307674106573,0.0016477207588814515,0.00010503098699409865
motif2_nocable,crown_height,surrogate,pressure,0.14582299448361385,0.15070845839008146,0.032642488161490006,0.015468913131801713
