,S1,ST,S1_conf,ST_conf
sf_wale,0.014014690634699267,0.05311506806981921,0.01844801973373078,0.00887794537320652
sf_course,0.9138725307222696,0.9580137417135205,0.08415710451265362,0.0619922161106248
knit_dir,0.0013424556378688211,0.011620915359314263,0.011502283306158526,0.004335752524219397
pressure,0.006798706237587031,0.029920834455058307,0.013120208621824222,0.005037351896797562
