sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_frac,cable_course_frac,verts_path,stress_path,cable_wale_lrest,cable_wale_L_nocable,cable_course_lrest,cable_course_L_nocable
3000,material_r_nocable,3,False,1.220804531558214,1.16499946122077,84.08820210819118,1570.2224317213645,6930.742695338102,4.997626196004445,0.2000949972607976,34637.26125198815,0.4116728210667985,0.06494146,8665.02958331,8532.05143012,0.0,0.0,411.06348739,,,,,,,,
3001,material_r_nocable,3,False,1.1042980791835513,1.223479212170793,81.96144361276077,1011.7005766534978,4469.47932975974,1.6511719471959148,0.605630444302448,7379.878887871281,0.370152908448456,0.1270483,2510.72354407,2390.56561046,0.0,0.0,129.32104028,,,,,,,,
3004,material_r_nocable,3,False,0.905576482704938,1.3613156338676071,70.74858804276805,1810.711459643814,13241.437092501026,3.332502991696311,0.3000747493675856,44127.12872511817,0.2550196398929765,0.03179589,18987.48879716,18934.0196755,0.0,0.0,1160.2373825,,,,,,,,
3005,material_r_nocable,3,False,1.3109725455646737,1.3432756712749987,29.95364963457999,339.385747281669,11641.278704578814,2.277564444805733,0.4390655124076174,26513.762469622856,0.389444632222843,0.00764189,13410.2036256,13408.07549117,0.0,0.0,753.31539377,,,,,,,,
3006,material_r_nocable,3,False,1.291975724171517,1.2676275308777778,50.14744855416651,1159.2955743004336,8042.06998367027,1.4745910535954587,0.6781541211454694,11858.764450308756,0.4370342822326886,0.0549698,5858.46988087,5804.67729114,0.0,0.0,345.14256713,,,,,,,,
3007,material_r_nocable,3,False,0.949559849198812,1.1129074910302887,71.73922698037315,878.8263854108664,17498.754500060644,4.676452637472041,0.2138372988078784,81832.09663428435,0.4219871095223393,0.03315268,10598.24694544,10532.24852814,0.0,0.0,516.18808731,,,,,,,,
3008,material_r_nocable,3,False,0.8589908847972249,0.8956935190284252,69.47879094423244,974.1296614734702,3795.7183446680224,2.4520655390737134,0.4078194420438524,9307.350148990376,0.2970180423522553,0.37028203,1410.40303447,1045.83916411,0.0,0.0,32.00434962,,,,,,,,
3009,material_r_nocable,3,False,0.9945774173286868,1.002519560505269,72.96886420177263,1314.9987109246572,9013.232026274613,1.1464362904368617,0.8722682702402411,10333.096289048985,0.3654146222766905,0.24722417,1924.86955528,1507.40817299,0.0,0.0,61.62615031,,,,,,,,
3010,material_r_nocable,3,False,0.9005864219289931,1.1305081099821506,66.09771471195342,1305.7871261859812,2966.5827129018016,4.7988769147413874,0.208382089761077,14236.265296615333,0.3911949321372895,0.16912362,3188.98300009,2920.13245213,0.0,0.0,146.33601415,,,,,,,,
3011,material_r_nocable,3,False,1.3208637795089362,1.045725435342933,21.687500372928824,242.36029884549987,15190.339440171596,1.7210713447195751,0.5810334377294138,26143.65792704293,0.4597324191695882,0.00902797,6987.24313561,6985.12068595,0.0,0.0,457.109465,,,,,,,,
3012,material_r_nocable,3,False,1.2553512558758568,1.1951474565948963,70.2202777375042,1376.3995958999385,9691.4874532701,1.2271818771185306,0.814875136803713,11893.217764974688,0.3314946196278885,0.08722452,4378.51799489,4261.810112,0.0,0.0,252.73849447,,,,,,,,
3013,material_r_nocable,3,False,1.1952654501465534,1.132082966853086,56.0087723053505,1104.9994656712668,15084.342769336796,4.906873112941439,0.2037957731905864,74016.95596125133,0.3554906007122803,0.02938297,13168.77830028,13117.20089022,0.0,0.0,644.66118334,,,,,,,,
3014,material_r_nocable,3,False,1.0493351382220455,0.9355894725166628,82.5067368957139,1665.918482841765,15128.81144061831,1.5152362218554265,0.6599631038225097,22923.72308844564,0.314361140791386,0.22763306,2759.26344812,2231.43843521,0.0,0.0,96.78993582,,,,,,,,
3015,material_r_nocable,3,False,1.1611583985093774,0.9669263877702826,11.567195228785836,1638.4864457626488,7764.582621840795,3.820697722124792,0.2617322993675284,29666.12313651687,0.4680613086861752,0.17464383,2981.5022915,2510.92520154,0.0,0.0,132.55623745,,,,,,,,
3016,material_r_nocable,3,False,1.387746225317089,1.0800884146133969,5.683905361738554,1292.8039779863295,10075.504004391823,3.2151004017824105,0.3110322773887909,32393.75697268044,0.2415351828379215,0.06236775,5479.30117585,5383.10837659,0.0,0.0,342.76311933,,,,,,,,
3018,material_r_nocable,3,False,1.2129206191938748,1.295206465567479,30.721462865924185,1326.5762163607774,8473.088833325774,3.11595285794976,0.3209291172196943,26401.74536586364,0.2091978091013809,0.05073973,9188.83417742,9125.92297193,0.0,0.0,463.45939104,,,,,,,,
3019,material_r_nocable,3,False,1.0922083070082251,0.9607649048695112,46.38807691318543,1603.324853247819,13323.985449569018,1.0419285529975526,0.9597587062213362,13882.640879629893,0.2105922196085639,0.21861903,2783.0102194,2382.10860548,0.0,0.0,108.58002066,,,,,,,,
3020,material_r_nocable,3,False,0.8820941669916792,0.9995461938272404,27.837389487389817,1077.8111291602534,10281.380258835306,1.3395987423576758,0.7464921908182844,13772.924064436813,0.2585230286017996,0.26376149,2380.60558657,1651.93986243,0.0,0.0,70.00688774,,,,,,,,
3021,material_r_nocable,3,False,0.8548870630679897,1.314392170256735,25.73281140994451,1865.318184953536,6692.399853824184,1.988366314533413,0.5029254381804685,13306.942432732343,0.2458912173583913,0.12119228,5539.3165191,5309.66833634,0.0,0.0,321.19726556,,,,,,,,
3022,material_r_nocable,3,False,1.2903205728751257,1.352204767938689,27.30632478232401,634.3548703787385,1381.3344900270577,4.179149720605189,0.2392831238061479,5772.803648058889,0.4793423067928198,0.06499161,3357.01877876,3322.91773815,0.0,0.0,169.72053694,,,,,,,,
3023,material_r_nocable,3,False,1.294451401001692,1.085789817237994,79.58633384434444,664.6530138927085,12909.093186198665,3.8388164152376745,0.2604969583933819,49555.63882901225,0.3691872521319099,0.02437422,7863.27436479,7839.02997263,0.0,0.0,449.08638515,,,,,,,,
3024,material_r_nocable,3,False,1.3543114077275369,1.3549482258691512,8.182272460936908,228.47074411349263,19781.26854747772,3.0554392175491443,0.3272851884129866,60440.463692834826,0.2145331641260294,0.0029452,25912.33818421,25911.7523507,0.0,0.0,1340.26994304,,,,,,,,
3025,material_r_nocable,3,False,1.1850534731791291,1.0141077635425515,32.927988274067424,880.4978316202989,19468.336975079383,4.206348094848668,0.2377359118767789,81890.60214499704,0.2086588348996716,0.05785237,4136.59927143,4023.7904144,0.0,0.0,250.55494264,,,,,,,,
3026,material_r_nocable,3,False,0.953418117433512,1.2080414283287384,19.48269915405796,302.40724862043004,13134.820896812733,1.4059897743386438,0.7112427261218061,18467.42386868824,0.4987735026165303,0.02066021,4623.20238911,4616.13143666,0.0,0.0,269.93158686,,,,,,,,
3027,material_r_nocable,3,False,1.032867325066969,0.9043288058372894,84.20023523756169,508.7635998999096,1689.550476564069,3.40362235322512,0.2938046281933849,5750.591768935619,0.4740015360249202,0.29251499,720.36428161,528.74132645,0.0,0.0,17.51984528,,,,,,,,
3028,material_r_nocable,3,False,0.8445428486054624,1.2769475722601802,31.11135530515589,1910.3498248782344,10634.458339426166,2.443600840337359,0.4092321395101263,25986.37133475441,0.1720252151149853,0.08248412,8926.60655731,8736.25543536,0.0,0.0,501.52330911,,,,,,,,
3029,material_r_nocable,3,False,1.028962477275691,0.9573625927064376,77.06647763439267,1516.5786129581725,1217.814289455773,2.867920261294874,0.3486847293126962,3492.5942752246315,0.2571363200249581,0.49434129,1887.12725448,1352.65234182,0.0,0.0,36.04597984,,,,,,,,
3031,material_r_nocable,3,False,1.190301977107501,1.0064433150582772,74.94792177283256,1741.3147121111977,15513.370829177917,2.5473279143301424,0.3925682258551957,39517.64255851985,0.3350213127769429,0.11614239,4268.55808599,3973.57536937,0.0,0.0,236.17145038,,,,,,,,
3032,material_r_nocable,3,False,1.054079022721738,1.1323144295267686,60.74490903892247,957.872957763333,14248.838456517764,1.7121957487735442,0.5840453702307729,24396.800630210702,0.4896620081504316,0.05984855,4818.4921135,4739.07593617,0.0,0.0,268.79988622,,,,,,,,
3033,material_r_nocable,3,False,0.9548255905975472,1.228552442247416,40.041578736402855,1900.248242359156,18921.779045091287,3.6820032300939327,0.2715912880865367,69670.05156314981,0.3069744631053266,0.03830621,18363.68953502,18270.30556015,0.0,0.0,979.40916312,,,,,,,,
3034,material_r_nocable,3,False,1.0766927942408833,1.2292033329542211,36.61162728524853,621.0851675442,9404.87780037086,4.15882706264453,0.2404524124078668,39113.2603170471,0.4477941662935122,0.01799446,11993.24051955,11980.73852652,0.0,0.0,631.42292206,,,,,,,,
3035,material_r_nocable,3,False,0.9564718396215542,1.041971122551181,64.17051688246089,694.4443797281458,12519.933484907397,3.790530472178424,0.2638153174970516,47457.189384188496,0.2028281904296101,0.10861411,3279.73272495,2980.59356983,0.0,0.0,125.70325332,,,,,,,,
3036,material_r_nocable,3,False,1.211478931355162,1.0950319991212194,3.1782273332040685,347.0628946541548,6095.137359809484,4.234318293623471,0.2361655243314883,25808.75162478916,0.1216246031623625,0.0408608,2671.56693395,2642.27648103,0.0,0.0,140.51199233,,,,,,,,
3037,material_r_nocable,3,False,0.8062587865413504,1.291111210378939,6.2275494374607945,768.4479758593483,9784.956590598544,4.6188964430004535,0.2165019312167986,45195.70119122946,0.1256396084955364,0.02068143,15492.33526218,15314.46149041,0.0,0.0,934.80134196,,,,,,,,
3038,material_r_nocable,3,False,1.3933971728894183,1.2057146018292004,60.76839914790031,1592.3761581777298,7427.264502998926,4.053247992647991,0.2467157207784611,30104.54493764608,0.1831530587196622,0.06798988,7691.05710216,7560.50884042,0.0,0.0,383.33918502,,,,,,,,
3039,material_r_nocable,3,False,1.0498795619770855,1.1390773596436248,33.97954807612484,511.1800528134192,7139.030827322623,4.691744491202108,0.2131403365795357,33494.50855661294,0.3046093079130799,0.03671189,5391.6964825,5358.94557826,0.0,0.0,257.83772282,,,,,,,,
3041,material_r_nocable,3,False,0.8111139729430344,1.151582632778578,43.67518813061099,1570.8391706060984,1881.9763179671013,3.1913330508084834,0.3133486803411705,6006.013224367267,0.1605553820529453,0.31016657,2562.41728559,2178.53754232,0.0,0.0,126.76474965,,,,,,,,
3042,material_r_nocable,3,False,1.0880706508292808,0.8563121665085107,41.34112822446627,1521.1693549899016,8293.502695779829,1.3245889412805374,0.7549511919020377,10985.481955310286,0.3297566653358457,0.27815745,2632.66609982,2015.00344325,0.0,0.0,99.79247217,,,,,,,,
3044,material_r_nocable,3,False,0.8855468444464258,1.294892955269081,88.15823880825148,1823.8933546001635,16677.561893894203,4.595290156699591,0.2176141148654289,76638.23600876023,0.4345544343702775,0.02092171,28147.31247214,28109.40920585,0.0,0.0,1730.75259085,,,,,,,,
3045,material_r_nocable,3,False,1.176451504496566,1.259335083304829,35.23682340706308,238.3073276321044,1650.6874321201358,3.4262034196059217,0.2918682511019789,5655.590924630527,0.4554477898164721,0.03668698,2154.67863626,2146.11841673,0.0,0.0,113.71982173,,,,,,,,
3046,material_r_nocable,3,False,1.0367073962697786,0.8466106885422618,85.31617134443364,1907.1291069875,2921.2262114889227,1.1881452581497147,0.8416479324735839,3470.841071163219,0.3456350883330272,0.4737633,2078.36175907,1524.69257849,0.0,0.0,59.39846509,,,,,,,,
3047,material_r_nocable,3,False,1.3882574832092722,1.35664555567688,61.23214581876618,1217.9726206544296,7585.589699186902,4.168385563801642,0.2399010323526747,31619.66259501312,0.4123655773770855,0.02434502,17199.50048885,17174.11659515,0.0,0.0,863.18441577,,,,,,,,
3048,material_r_nocable,3,False,1.037020028621515,1.3438817412752346,40.29711432358499,1199.322031406202,11847.235067870348,3.457170729873189,0.2892538662783022,40957.91430656858,0.3375787374172518,0.02328254,17417.7304823,17393.93486793,0.0,0.0,985.90918344,,,,,,,,
3049,material_r_nocable,3,False,1.1786557913227798,1.3607113826414574,88.28391309625314,345.93728980549054,5140.696617085364,4.130963931597215,0.2420742510848685,21236.03230846346,0.2376602643232637,0.01369712,9215.15728835,9211.12486804,0.0,0.0,473.11933785,,,,,,,,
3050,material_r_nocable,3,False,1.2476896712839185,1.1728592221408534,28.36545753750693,1224.2802930063324,8853.582001783683,2.046473594701216,0.488645444822365,18118.621785172243,0.4918218091538336,0.05588686,6276.97652264,6209.02017798,0.0,0.0,358.41541828,,,,,,,,
3051,material_r_nocable,3,False,1.0139848458352525,0.992359952797881,28.57377911736449,1581.035028467742,2754.5523001761035,4.00580324845812,0.2496378224229838,11034.194552093222,0.3092600723703251,0.31420702,2411.76985518,1900.71182419,0.0,0.0,61.46955291,,,,,,,,
3052,material_r_nocable,3,False,0.8863765005534536,1.096338441934658,78.34040111124845,1317.4352884421244,18354.19080572503,4.749314732137735,0.2105566921545933,87169.82879009684,0.4368116837002825,0.06033324,9562.52573326,9342.10392582,0.0,0.0,450.23219141,,,,,,,,
3054,material_r_nocable,3,False,0.9309220496651268,1.1238168702510452,23.697574849145568,1804.789715551828,8328.058958382175,2.9850303342224533,0.3350049708156423,24859.50861596384,0.2265151244542217,0.16261233,4991.28229422,4510.98966421,0.0,0.0,215.35065649,,,,,,,,
3055,material_r_nocable,3,False,1.2620764945499472,1.2269076314428002,65.40274099187938,887.9979864262058,17903.868513322952,2.1165313036415667,0.4724711599018,37894.09816473063,0.1927579892847815,0.02606629,10090.16501504,10064.28212753,0.0,0.0,568.31281632,,,,,,,,
3056,material_r_nocable,3,False,0.9268713712663376,1.3534756506040198,46.64084907073413,1837.7028715641795,18132.14281790713,4.698011339618963,0.2128560209224837,85185.01257011824,0.1664243442893861,0.01838898,35354.70858383,35321.2648239,0.0,0.0,2064.16606775,,,,,,,,
3057,material_r_nocable,3,False,1.3243193045100077,0.945118696814794,19.76880248747324,1943.5700812644595,19533.81569727061,2.352993292669922,0.4249905867199935,45962.93731592818,0.2389338928533925,0.08869081,7742.03474873,7482.19217272,0.0,0.0,432.11276494,,,,,,,,
3058,material_r_nocable,3,False,0.817608578189956,1.010480716489081,52.25175536784705,1981.280081994412,10537.50720030568,3.5263243277958662,0.2835814029122645,37158.66799476203,0.2472621156863888,0.23859215,5400.94498393,4170.8430495,0.0,0.0,201.24218559,,,,,,,,
