sample_id,motif,has_cable,group,sf_wale,sf_course,knit_dir,pressure,crown_height,mean_stress,max_stress,boundary_reaction_mean,verts_path,stress_path,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
2332,2,False,motif2_nocable,1.030859375,0.974609375,24.78515625,717.578125,0.2475928,822.05591331,1061.69760085,32.62224857,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02332_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02332_stress.csv,1.396442998332031,1.1479789656268122,0.053286042292983,0.0559521776905603,885.3640571428571,889.1145222222223,910.9151428571428,906.779157777778,False
2333,2,False,motif2_nocable,0.951171875,1.152734375,78.92578125,717.578125,0.16248008,1695.59631518,1854.96659756,82.86288222,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02333_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02333_stress.csv,1.1802366610291195,1.1243415748675538,0.052994030676608,0.0569272743041451,1789.8189844444446,1649.2075565217392,265.64560222222224,1771.964497826087,False
2334,2,False,motif2_nocable,1.330859375,1.2746093749999998,69.78515625,303.515625,0.02950935,2839.35330507,2848.02793427,169.54487246,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02334_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02334_stress.csv,0.2309031148931633,0.2079492918625139,0.0528349058735513,0.055280764081261,2843.0344,2841.3024145833333,2428.8946644444445,3123.5925729166665,False
2335,2,False,motif2_nocable,1.2511718749999998,1.2746093749999998,69.78515625,303.515625,0.03321999,2622.25652508,2632.29209554,152.44100979,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02335_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02335_stress.csv,0.2598613078602552,0.2339197048491124,0.0528356038737747,0.0552888005287769,2627.3754444444444,2623.6673291666666,1896.2081733333328,2993.9533583333337,False
2336,2,False,motif2_nocable,1.330859375,0.852734375,69.78515625,303.515625,0.08365537,2108.24030517,2353.31631641,120.75237097,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02336_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02336_stress.csv,4.297712391619434,1.828034744871907,0.1262343707195699,0.0823725720658824,2070.348504444445,2097.143498076923,1944.7683244444445,-221.31172692307695,True
2337,2,False,motif2_nocable,1.330859375,1.2746093749999998,33.92578125,303.515625,0.02950905,2839.36594004,2848.04558105,169.54407411,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02337_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02337_stress.csv,0.2310129879576298,0.2080377879955116,0.0528365378816207,0.0552800907242775,2841.5497644444445,2842.7307104166666,2430.316753333333,3126.3370875,False
2338,2,False,motif2_nocable,1.330859375,1.2746093749999998,69.78515625,217.578125,0.02120603,2831.06213283,2835.54171192,169.4091391,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02338_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02338_stress.csv,0.1663440293722015,0.1498577008521563,0.0528338690923158,0.0552778054846621,2832.9630533333334,2832.0687,2421.537268888889,3113.641283333333,False
2339,2,False,motif2_nocable,1.2511718749999998,0.852734375,33.92578125,217.578125,0.08099631,1569.6523886,1957.68208463,85.33687967,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02339_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02339_stress.csv,2.901512418623557,6.931282662843096,0.1131635321883144,0.1436628489240436,1538.035485714286,1553.8320560000002,1443.324128571429,-176.23223,True
2340,2,False,motif2_nocable,1.1808593749999998,0.8246093750000001,2.28515625,1053.515625,0.25519372,1827.12630772,2376.95011818,102.14791026,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02340_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02340_stress.csv,1.4098704276937368,1.0850842426243084,0.0526682520734983,0.0567318027713311,1934.506,1634.302188636364,1838.4035609756097,111.6827068181818,False
2341,2,False,motif2_nocable,1.101171875,0.8246093750000001,2.28515625,1053.515625,0.30242037,1511.01519299,2207.32298006,80.63049375,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02341_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m2_02341_stress.csv,1.4591976406660936,1.3508589690472796,0.0527251102417164,0.0566538554314366,1649.5831075,1297.659134883721,1629.7011625,404.6038534883721,False
