sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path
1001,material_nocable,3,False,1.202367464978787,1.3242192136059874,42.85389197750292,1141.437735320245,6628.021027269474,4.886796237945981,0.48076530276971463,0.14875698,2888.66190132,2724.84319008,0.0,0.0,120.8740911,,,,
1002,material_nocable,3,False,0.9821481633213887,0.8967432842294687,45.96215844229602,555.4439905510868,1516.6368250391504,4.310788526152491,0.8593887881255848,0.29918953,797.02847862,652.59896502,0.0,0.0,25.51568591,,,,
1003,material_nocable,3,False,1.3144523033810145,1.180945312675617,65.79227411130628,466.58346471459777,2922.6891549653456,4.546916125774569,0.5427973421805135,0.09808016,1656.26095207,1618.0382408,0.0,0.0,83.28048336,,,,
1008,material_nocable,3,False,1.1659749649587867,1.0777538411583798,36.21424909180969,1024.4635288815439,5860.689485923121,3.7146514334680942,0.8814480970098718,0.06077352,5214.48788848,5155.24342974,0.0,0.0,286.85942075,,,,
1010,material_nocable,3,False,0.9556810986341919,0.840676896437506,43.120361732707565,461.04018852880193,4671.172839924485,3.777118097843177,0.7535426105446195,0.28128084,727.28849416,590.61793746,0.0,0.0,24.76895918,,,,
1004,material_nocable,3,False,1.0088680059985013,0.8270408855552782,71.36236027972592,486.20398079466037,3753.832213263083,4.906836921994173,0.6244200227064723,0.27518633,788.1555081,664.46505275,0.0,0.0,31.50977968,,,,
1005,material_nocable,3,False,1.3524815876055079,0.936738954487585,50.014998805543335,348.81589247122315,3669.4931680366317,4.320525312788669,0.8242508829100912,0.02440542,3927.64834111,3920.79122434,0.0,0.0,264.54681258,,,,
1006,material_nocable,3,False,0.9993870528765975,0.8995774990069412,57.2483102153262,319.0452407543663,2364.580118601946,4.753212706011215,0.7863498360718504,0.23932486,549.70686913,458.85749973,0.0,0.0,19.55759192,,,,
1012,material_nocable,3,False,0.8797663442209922,1.2798139814301606,58.92338111761022,1113.8571198225495,3349.723839958888,4.956838129736864,0.45595632570913996,0.41183624,1410.61162013,989.712253,0.0,0.0,25.24890604,,,,
1013,material_nocable,3,False,1.0680243010161052,1.007126675972507,51.65438432305471,946.0430482446498,4254.360042380042,4.407289129757732,0.46866338376701017,0.2941006,1480.39792698,1244.36967449,0.0,0.0,48.47364021,,,,
1015,material_nocable,3,False,0.811368200159973,0.9459287272063241,56.80469049043215,892.519311403164,3390.7269370423433,3.428546427887283,0.6761710616865642,0.4412472,1134.39690633,780.77028446,0.0,0.0,16.89055443,,,,
1007,material_nocable,3,False,1.1672952697229484,1.2016389941165528,86.61107741306691,1021.3594422379458,6556.986259435128,3.312495464615435,0.5390596338854388,0.13886734,2512.72482328,2374.38976375,0.0,0.0,116.04653353,,,,
1009,material_nocable,3,False,1.2093603025811732,0.902487759847243,50.86666669131102,771.1379768804086,4222.584193390746,3.4116780781699987,0.5209747285825754,0.17249068,1577.52304435,1468.52292034,0.0,0.0,81.38354336,,,,
1011,material_nocable,3,False,1.1639595773546885,1.3151915572114659,51.822956566239625,603.6896952500358,4035.3256034827054,4.982171448155135,0.6499148116548313,0.10855844,1973.7938265,1909.08302808,0.0,0.0,89.85720506,,,,
1014,material_nocable,3,False,1.2873072937244974,1.0095818432829444,51.91829577064458,1043.3773648253868,1425.4127820514927,4.846435781458249,0.7359171222539966,0.24839379,1579.05587181,1410.64500152,0.0,0.0,71.95029207,,,,
1016,material_nocable,3,False,0.8124630203129393,1.303469390085114,23.334134638280798,864.8201960311881,4070.2990962301474,4.15499757887762,0.8887494309272665,0.2009178,1354.89351927,1172.5555812,0.0,0.0,62.86228003,,,,
1017,material_nocable,3,False,1.3805261416332373,1.0161856494607597,67.35401288094384,1138.5354036634135,5053.605095382775,4.770666890243442,0.48973777613904346,0.12219352,3120.11149012,3021.77590425,0.0,0.0,175.56651237,,,,
1020,material_nocable,3,False,0.8754785232133838,1.1201581544371182,52.916864994664685,232.86064513348646,5082.017154669516,3.8426200426448633,0.6723722934357822,0.2165064,431.9431879,318.44352683,0.0,0.0,15.97863393,,,,
1023,material_nocable,3,False,1.2311768959453557,0.9643994426012376,57.06419363821627,273.5589003598355,1199.5243736659409,3.7532594628446123,0.8905840548739237,0.06171042,1284.40604018,1268.57490836,0.0,0.0,78.17359325,,,,
1024,material_nocable,3,False,1.337529803461377,1.3735152011171392,7.821894721360891,627.6559224739872,6516.093196491828,4.564753986619623,0.5275214084265403,0.05330722,4073.2675488,4044.96022826,0.0,0.0,201.45755343,,,,
1018,material_nocable,3,False,1.1977309889910912,0.821821442960918,22.069191265372336,570.341840055944,6451.925809206224,4.666649355290729,0.8222235461785271,0.05628026,2918.31259548,2877.48614145,0.0,0.0,188.99424989,,,,
1026,material_nocable,3,False,0.9035229983668813,1.3800745288419467,11.565646961059404,1150.8350190382062,7066.062965731385,4.772466049685907,0.7508404781857313,0.1742284,2083.14127368,1864.5312114,0.0,0.0,98.96637275,,,,
1019,material_nocable,3,False,1.0896772835894857,0.9924106355074934,36.59210159300525,935.2001412284474,7701.416838233902,3.9378224952954892,0.7866546364142665,0.13080906,2441.52530471,2286.63172836,0.0,0.0,116.62189825,,,,
1025,material_nocable,3,False,1.3035702141459846,1.2490685452307695,42.663342075065984,659.9361924929578,4237.119617800165,4.507129758092692,0.6777351075484784,0.07037077,3144.39861587,3105.71986152,0.0,0.0,161.07485317,,,,
