,S1,ST,S1_conf,ST_conf
sf_wale,0.02021943845057801,0.5049964514148075,0.03677870421936398,0.23880003865056068
sf_course,0.08261146092151431,0.44163094756504867,0.04530423345963391,0.16037800956100817
knit_dir,0.010624010700515102,0.4650196888278609,0.03060621579486153,0.15804370687115543
pressure,0.03889191771923923,0.4361656993108912,0.029465893995049106,0.18927224847633997
cable_angle,0.06319904832185287,0.6259008059977298,0.04418909697242666,0.21766615787869484
