sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
1500,material_cable,3,True,0.9612759147591264,1.0732467000933952,51.29292393406836,257.2655093386253,5969.933768462691,4.410266462700404,0.7192003266996612,0.15747855,662.52592657,419.9076146,9.05173627,8.10150042,23.38765465,0.9624108113880324,0.9764878240079292,,,1.4871011531386442,0.05202122980274085,1.7546794156809076,0.05421022894823104,445.57101956521734,233.6296387755102,-0.08254052267322282
1501,material_cable,3,True,1.1619674673540523,0.8220173444489135,61.88471254418474,280.00725952700844,7061.680954298237,3.276152731414443,0.5648126113147401,0.07027661,1435.59166077,1363.25886052,2.01171274,5.08446344,78.28389228,0.986923081111239,0.955149834051168,,,1.1297380749389891,0.05312391052139076,0.946038573348552,0.055370760496610494,1363.7787066666667,1319.0804591836734,0.08849675698104811
1503,material_cable,3,True,1.180266058910211,1.0918857258758563,33.62481245465856,455.7041652786223,2807.5415706223976,4.4281078403103935,0.723958854206668,0.10742824,1512.33910169,1336.89266562,5.10688974,9.31806768,71.25543447,0.9524337313791428,0.965181274003021,,,1.285692715827025,0.05252842349179301,1.2191564165004403,0.05480933597547311,1368.951654347826,1092.9268812500002,0.026562996736158844
1504,material_cable,3,True,0.909036629123754,1.1813351235429268,55.53857496403321,398.8343996098646,6998.136986108452,4.838151351405943,0.6401178229823411,0.18624899,773.63197769,518.28794627,14.62746748,9.01175763,30.71683498,0.9592128512537434,0.990909099641722,,,1.5870313610025368,0.052940512429875505,1.8022116850068552,0.05443848616141151,558.3083636363638,382.41391632653057,-0.06348919834996163
1505,material_cable,3,True,1.0783993974002906,1.1553939064160588,1.992833606486088,457.5404064654182,7107.663262164427,4.418823823465674,0.4625544330393248,0.12289498,1351.36175464,1176.43772812,6.73819796,6.19935687,57.91872963,0.986590170265866,0.9997782161080336,,,1.3561157802888306,0.05275795491941907,1.2577763318870903,0.05558075005556741,1249.8821,977.0482999999999,0.03762184672567767
1507,material_cable,3,True,0.8917445861842921,1.2469701093871337,13.360030055365838,1148.7680207802182,5326.077689187477,3.6474857016508495,0.5973804487290634,0.26871687,1711.12320115,1138.47946282,26.38021934,29.93999624,53.18651002,0.9824597192436786,0.9053070890113788,,,1.905507903577973,0.05450830129245593,2.447535030220273,0.05359012867992617,1198.8698589743587,909.3355241379312,-0.12451683451910148
1510,material_cable,3,True,0.9213384400943706,0.9120048371478924,89.07444593392054,661.314841039627,3300.9354826238914,4.023165818283582,0.5293563512425344,0.36859442,963.50498499,620.87642203,17.12782557,11.6218078,22.02109986,0.96569112504234,0.9556253717172972,,,2.324703960130669,0.05478827640181746,2.2371516040256605,0.05341827047742749,613.4475342105261,595.736242,0.01919226833767601
1511,material_cable,3,True,1.2744616674294509,1.3685042491778106,20.34629065980439,505.55683583427344,4168.519445717277,3.290916354131916,0.6771867368999909,0.04729958,3560.99857179,3225.2824901,23.36490139,4.31948923,173.52647582,0.9034492457753353,0.9943144172525582,,,1.0239431140948203,0.05490500410173109,0.8427763116124346,0.056131010519117334,3266.3572630434787,3133.1915276595746,0.09705090116247436
1512,material_cable,3,True,0.9039880703293046,1.3260137394155145,24.41268011569853,860.5021446568013,1603.8221684794166,4.312158193433078,0.7163398941897126,0.32576058,1210.02683234,806.99772718,18.15452358,15.92486687,29.2333811,0.9647539152551184,0.935162752450464,,,2.022071302425545,0.056735657818272424,2.3175466675126075,0.05556398560276794,883.3996692307692,449.2136222222222,-0.06808787481614968
1513,material_cable,3,True,1.2282376444035763,1.3454396943470943,66.55891289986533,382.1377708681137,6527.033598339303,4.788023829926219,0.5828121661830171,0.03986334,3379.51066131,3157.26778398,13.29494808,11.14195612,159.1281863,0.9430253210103144,0.9545877125634384,,,0.9719230093624949,0.052719564063776043,0.8173084737777627,0.05509129345859067,3174.7702511111106,2896.2343959183668,0.08641393639763711
