motif,knit_dir,sf_wale,sf_course,pressure,crown_height,mean_stress,max_stress,verts_path,stress_path,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed,H_fit_x0,H_fit_y0,H_binned_x0,H_binned_y0,fit_rms_resid_frac,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm
1,0.0,1.0,1.0,1000.0,0.24972319,1302.38568385,1636.19066087,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th000.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th000.00_stress.csv,1.3498942484609993,1.1992225648729755,0.0536985370548035,0.0553297686577766,1235.9325571428571,1540.847137777778,850.1236785714285,1754.3214755555553,False,1.1890566723816618,1.1975363440897584,1.3498942484609993,1.1992225648729755,0.0028204917484497,0.9424084990237581,1.134557545970055,1.2038914622961743,179.87071782268853,1.1345565679922642,0.9424095998258021,0.9424095998258021,1.1345565679922642,1.0384830224969066,35,0.10193857227168318
1,1.0,1.0,1.0,1000.0,0.24972227,1302.33716564,1636.25644094,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th001.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th001.00_stress.csv,1.3587337096841812,1.2042441655064593,0.053716503609065,0.0553611722241296,1235.8072142857145,1540.7104733333335,850.1689452380951,1754.153091111111,False,1.1890373084180967,1.1975486396597952,1.3587337096841812,1.2042441655064593,0.0028240234722716,0.9423933826646363,1.1345526129214851,1.2039055385910231,178.9230564689559,1.1344847538131397,0.9424622460863135,0.942393801040345,1.1345522664916097,1.0384729977930607,35,0.10187334029246861
1,2.0,1.0,1.0,1000.0,0.2497214,1302.28818806,1636.32042462,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th002.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th002.00_stress.csv,1.3681519619490978,1.2097089224769018,0.0537350918101651,0.0553940783249362,1235.929035714286,1540.4258311111112,850.1064357142857,1753.7954088888887,False,1.1890424080649842,1.197566520438033,1.3681519619490978,1.2097089224769018,0.0028256088530792,0.9423867916802329,1.134541927848052,1.2039026203086052,177.9749004700384,1.1343020588338104,0.9426285597819597,0.9423868532506199,1.1345418909851646,1.0384643597641423,35,0.101807425675938
1,3.0,1.0,1.0,1000.0,0.24972056,1302.23881752,1636.38244425,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th003.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th003.00_stress.csv,1.37818374534391,1.215632869181244,0.0537542662137391,0.0554284455113338,1242.080543902439,1539.9934466666664,852.3741512195122,1753.2487222222223,False,1.1890718822167596,1.1975899640691767,1.37818374534391,1.215632869181244,0.0028252500133304,0.9423885972357675,1.1345255870123965,1.2038829739029195,177.0262910058914,1.1340086634248547,0.9429083267839042,0.9423886188844243,1.1345255465708481,1.0384570921240819,35,0.10174315810809936
1,4.0,1.0,1.0,1000.0,0.24971978,1302.18911508,1636.44233749,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th004.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th004.00_stress.csv,1.3888648150050158,1.222028025648904,0.053773988296439,0.0554642224212812,1242.752031707317,1539.413637777778,852.0738829268292,1752.5135044444448,False,1.1891256166457425,1.1976188540589587,1.3888648150050158,1.222028025648904,0.0028229669282143,0.94239870672715,1.1345039797642777,1.2038471314379122,176.07704296736904,1.1336051151027258,0.9433012952725737,0.9423989956610435,1.1345036325450166,1.0384513432457139,35,0.10167920018378776
1,5.0,1.0,1.0,1000.0,0.24971904,1302.13913556,1636.49994822,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th005.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th005.00_stress.csv,1.4002344186395792,1.2289112894554537,0.0537942083153441,0.0555013596083961,1243.6647195121952,1538.6868222222224,851.668775609756,1751.5903177777775,False,1.1892031578371824,1.197653078988863,1.4002344186395792,1.2289112894554537,0.002818788688968,0.9424168199919178,1.13447712368503,1.2037954964500306,175.12706333634367,1.1330917186181206,0.9438068767183003,0.942417670602205,1.1344761794661091,1.038446971838474,35,0.10161637034807043
1,6.0,1.0,1.0,1000.0,0.24971835,1302.08892693,1636.59539411,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th006.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th006.00_stress.csv,1.412339867723205,1.2362949987328051,0.053814882537413,0.0555397999167897,1244.81596097561,1537.813531111111,851.1599219512195,1750.479908888889,False,1.189304164590866,1.19769238779641,1.412339867723205,1.2362949987328051,0.0028127560461514,0.9424423818324882,1.1344455640822646,1.2037293588987847,174.17635976993637,1.132469482617301,0.9444240512292544,0.9424440755672309,1.1344437456461245,1.0384439729573764,35,0.10155437994960875
1,7.0,1.0,1.0,1000.0,0.24971771,1302.03852967,1636.77313131,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th007.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th007.00_stress.csv,1.2623519477242655,1.2441972060258055,0.0538359543348961,0.0555794850669849,1250.4557214285717,1536.7943866666665,852.3097333333333,1749.183162222222,False,1.189428011349403,1.1977366701623964,1.2623519477242655,1.2441972060258055,0.002804919641493,0.9424750384417384,1.13440951047939,1.2036493956964534,173.2247438759044,1.1317390808372718,0.9451519995853951,0.9424778390509874,1.1344065584868432,1.0384422744605644,35,0.10149503185937217
1,8.0,1.0,1.0,1000.0,0.24971712,1301.98797652,1636.94236005,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th008.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th008.00_stress.csv,1.2665902546795775,1.252633085093188,0.0538573726703184,0.05562035146798,1252.045838095238,1535.630122222222,851.6056452380953,1747.7011488888888,False,1.1895739617291934,1.1977856029395186,1.2665902546795775,1.252633085093188,0.0027953420401676,0.9425148376569333,1.1343691806204235,1.2035557800240417,172.2722791924625,1.1309014927118073,0.9459900063623796,0.9425189949283653,1.1343648496719287,1.0384420091386783,35,0.10143813245724259
1,9.0,1.0,1.0,1000.0,0.24971659,1301.9372923,1637.10265875,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th009.00_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/knit_dir_sweep/m1_th009.00_stress.csv,1.270971466832698,1.2616156967086058,0.0538790661998411,0.0556623326810828,1253.8585,1534.3215466666666,850.8037333333334,1746.0350044444442,False,1.1897412523083366,1.1978388818354258,1.270971466832698,1.2616156967086058,0.0027840884449462,0.9425611399974771,1.134324591308085,1.2034493500454742,171.31879945340827,1.1299574348547123,0.946936730916456,0.9425668829593018,1.1343186568730828,1.038442865652781,35,0.1013829156767123
