motif,sf,knit_dir,pressure,crown_height,mean_stress,max_stress,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
1,0.8,0.0,1000.0,0.0,2284.9408402,2284.9408402,0.0,0.0,,,2284.9407999999994,2284.9408,-1230.0611,-2636.4575,True
1,0.81,0.0,1000.0,0.0,2182.75320818,2182.75320818,0.0,0.0,,,2182.7532000000006,2182.7531999999997,-1175.0501000000002,-2518.5493,True
1,0.8200000000000001,0.0,1000.0,0.0,2079.29616459,2079.29616459,0.0,0.0,,,2079.2961999999998,2079.2962,-1119.3556000000003,-2399.1762999999996,True
1,0.8300000000000001,0.0,1000.0,0.0,1974.56970941,1974.56970941,0.0,0.0,,,1974.569699999999,1974.5697,-1062.9778,-2278.3387,True
1,0.8400000000000001,0.0,1000.0,0.0,1868.57384266,1868.57384266,0.0,0.0,,,1868.5737999999997,1868.5738,-1005.9167000000001,-2156.0364000000004,True
1,0.8500000000000001,0.0,1000.0,0.0,1761.30856432,1761.30856432,0.0,0.0,,,1761.3086000000003,1761.3086,-948.1721000000003,-2032.2693,True
1,0.86,0.0,1000.0,0.0,1652.77387441,1652.77387441,0.0,0.0,,,1652.7739,1652.7739,-889.7442,-1907.0375999999999,True
1,0.87,0.0,1000.0,0.0,1542.96977293,1542.96977293,0.0,0.0,,,1542.9698000000003,1542.9698,-830.6330000000002,-1780.3412,True
1,0.88,0.0,1000.0,0.0,1431.89625986,1431.89625986,0.0,0.0,,,1431.8963,1431.8963,-770.8383000000001,-1652.18,True
1,0.89,0.0,1000.0,0.35138601,1095.39824515,1481.1908095,1.427466328006272,1.4740099020338087,0.05382634525874699,0.05547001399552114,1056.9887897435897,1302.0099292682928,812.1129743589744,1426.9552536585368,False
1,0.9,0.0,1000.0,0.34210287,1099.6597809,1471.49521946,1.4269711518575665,1.4032482073184005,0.0538440520821015,0.05545665749006085,1058.4373666666663,1314.7979975609758,810.417076923077,1447.80716097561,False
1,0.91,0.0,1000.0,0.33282762,1106.05849037,1464.70107322,1.304207550946683,1.2747315880199193,0.053855296332996905,0.05544336874172937,1061.8801897435897,1324.200664285714,809.2893717948717,1464.8658190476192,False
1,0.92,0.0,1000.0,0.32355787,1114.83662884,1460.27751634,1.422752651553216,1.2722126004722247,0.053860682274351014,0.05543005195624997,1055.3344475,1336.2547302325584,804.7581075,1484.2711139534883,False
1,0.93,0.0,1000.0,0.31429242,1126.24014642,1465.31395924,1.4188812446615287,1.2683814196532077,0.05386041582485824,0.05541671514524047,1063.9809175,1355.9773090909093,805.2926024999999,1513.3445931818183,False
1,0.9400000000000001,0.0,1000.0,0.30503117,1140.52941119,1483.08353621,1.4137181667714982,1.2631643328381215,0.05385448014809622,0.0554034260294964,1075.7346525,1375.8815386363638,806.90757,1541.1643499999998,False
1,0.95,0.0,1000.0,0.29577526,1157.9791526,1502.80439465,1.4071726463438798,1.447252615282897,0.05384278187393374,0.05539026818772758,1100.7106341463414,1397.7926272727273,813.8993634146341,1571.0098977272726,False
1,0.96,0.0,1000.0,0.2865272,1178.87159887,1524.61754081,1.399137142335491,1.4368844403172678,0.05382523718890911,0.05537734536403616,1119.8443926829268,1421.8658750000002,818.0854707317073,1603.0569545454543,False
1,0.97,0.0,1000.0,0.27729106,1203.48815638,1548.67946899,1.2728221499889345,1.2385396916542897,0.0538018392933402,0.05536475075143392,1143.1296731707318,1445.30962,823.8693390243902,1633.8691244444444,False
1,0.98,0.0,1000.0,0.26807269,1232.10478077,1575.16392958,1.3781609886736474,1.1463777998570972,0.05377270687602282,0.05535256994804233,1170.9259780487807,1474.3553466666667,831.433107317073,1671.0791177777774,False
1,0.99,0.0,1000.0,0.25888001,1264.98875243,1604.2635068,1.3649926886502997,1.214043619013663,0.053738125404535014,0.05534088700466785,1197.7189785714286,1506.1269466666668,838.365238095238,1711.1426155555553,False
1,1.0,0.0,1000.0,0.24972319,1302.38568385,1636.19066087,1.3498942484609993,1.1992225648729755,0.05369853705480356,0.05532976865777661,1235.9325571428571,1540.847137777778,850.1236785714285,1754.3214755555553,False
1,1.01,0.0,1000.0,0.24061497,1344.49220077,1671.17790914,1.332773770996287,1.1212347509873204,0.053654570038178084,0.05531927271244576,1279.6223952380954,1578.7550800000004,864.2149857142858,1800.898711111111,False
1,1.02,0.0,1000.0,0.23157076,1391.43529497,1709.47667607,1.313558933657916,1.3325265790495495,0.05360699755265171,0.05530945384953772,1328.8589285714286,1620.1042844444441,880.8142809523808,1851.1758377777778,False
1,1.03,0.0,1000.0,0.22260875,1443.28523342,1751.35439241,1.2922098528255315,1.3080031645444212,0.053556703996727704,0.05530034110164867,1395.33185,1665.1587333333332,904.7402113636364,1905.4684955555554,False
1,1.04,0.0,1000.0,0.21374985,1500.08978885,1797.0894902,1.268736820668309,1.281556388615764,0.05350465886865828,0.05529198074507177,1454.8266272727271,1714.1873866666665,926.645515909091,1964.0997733333336,False
1,1.05,0.0,1000.0,0.20501745,1561.89783796,1846.9641277,1.1401702790877797,1.099099117214755,0.053451844442852635,0.05528436880304789,1519.4566886363639,1767.4567577777773,951.5012409090908,2027.3915066666661,False
1,1.06,0.0,1000.0,0.19643692,1628.76280923,1901.25476867,1.215676169820608,1.0742107485627308,0.053399224042421325,0.05527753138143243,1589.1667954545453,1825.2217866666667,979.4177863636364,2095.6535488888885,False
1,1.07,0.0,1000.0,0.18803495,1700.7342585,1960.22110672,1.186361289444411,1.0479651323387889,0.053347682703556304,0.05527146496457153,1663.9356318181817,1888.830171739131,1010.4800886363638,2170.6793456521737,False
1,1.08,0.0,1000.0,0.17983864,1777.84621276,2024.0942029,1.1554612514536986,1.0205406845439016,0.05329798879676974,0.05526616377459579,1743.7522431818181,1956.2052891304347,1044.7448136363637,2249.619165217391,False
1,1.09,0.0,1000.0,0.17187447,1860.1067268,2093.06500245,1.1232372390579572,0.9921477582934207,0.053250778891008474,0.055261602205790954,1831.07124,2028.667834782609,1082.892791111111,2334.2672,False
1,1.1,0.0,1000.0,0.16416714,1947.49040301,2167.27452118,1.0899802468061388,0.9630139061548136,0.053206526071154406,0.05525775338008208,1920.7298511111117,2106.3271217391302,1123.5730644444445,2424.7668195652177,False
1,1.1099999999999999,0.0,1000.0,0.15673857,2039.93441286,2246.80687949,0.9695391085561144,0.8855908411163168,0.05316555191540856,0.055254587612230725,2015.30774,2189.237091304348,1167.4439755555557,2521.19705,False
1,1.12,0.0,1000.0,0.14960695,2137.3379866,2331.68601107,1.0216341964153342,0.90349120198411,0.05312802926883622,0.05525205373173287,2114.7001533333337,2277.394582608696,1214.4419377777776,2623.57017826087,False
1,1.13,0.0,1000.0,0.1427861,2239.56495815,2421.87634618,0.9871728388110363,0.8735856922632625,0.05309399963054858,0.05525010058517475,2218.7704977777776,2370.7410826086953,1264.4779244444444,2731.833591304348,False
1,1.1400000000000001,0.0,1000.0,0.13628512,2346.44875022,2517.28722448,0.9529086261471209,0.9526837321995114,0.053063398826754316,0.0552486624024105,2327.354566666667,2469.1678956521732,1317.4417,2845.8754630434782,False
1,1.15,0.0,1000.0,0.13010836,2457.79890564,2617.78026472,0.9190946653989849,0.9188346664872716,0.05303607537139567,0.055247686601623845,2440.2664555555557,2572.523710869565,1373.2067977777779,2965.5334173913043,False
1,1.16,0.0,1000.0,0.12425565,2573.40839642,2723.17868565,0.8859537941154804,0.8857474716816724,0.05301182956612992,0.055247111089622304,2557.305391111111,2680.6237347826086,1431.6355733333335,3090.6050304347823,False
1,1.17,0.0,1000.0,0.11872279,2693.06088633,2833.27744534,0.7845172045333888,0.8186794738160094,0.05299041919119297,0.05524687083005193,2678.262493333333,2794.097212765957,1492.584291111111,3221.8966170212775,False
1,1.18,0.0,1000.0,0.11350214,2816.53737764,2947.85321637,0.8223594654895773,0.8224277231170104,0.05297158293339211,0.05524691726692811,2802.9269866666664,2910.9958893617027,1555.907502222222,3357.0199936170225,False
1,1.19,0.0,1000.0,0.10858331,2943.62184704,3066.67344303,0.7921463435536118,0.7923919052127306,0.052955059872176,0.05524719127004319,2931.0914644444447,3031.981295744681,1621.461857777778,3496.8235382978723,False
