sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_frac,cable_course_frac,verts_path,stress_path,cable_wale_lrest,cable_wale_L_nocable,cable_course_lrest,cable_course_L_nocable,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
3800,material_r_cable,3,True,1.2755834021938894,1.3720163112418189,62.523922428547294,561.9331276284463,14024.58797669901,1.1732476088066623,0.8523349994440845,16454.314308160778,0.4602960678388088,0.01022869,15205.45678814,11137.07755489,2413.83675546,1449.63014151,689.96558866,0.9374684929265076,0.9477526923911908,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03800_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03800_stress.csv,1.2099623928230303,1.2906699285923466,1.2251295546659662,1.2926679760465256,,0.05809323511046324,,0.056654747976069474,10191.188302040817,10747.733142553192,
3801,material_r_cable,3,True,1.0700327912140524,1.188659875460504,7.178190044420198,1455.0452407032217,18725.37460394221,4.003875352998781,0.2497580248723353,74974.06585239354,0.4227418216382442,0.02002609,32374.98809008,18503.46518532,5476.7428297,642.50928078,963.76557503,0.932975550380836,0.9701194012016632,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03801_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03801_stress.csv,1.2054412866257078,1.2920395246516938,1.255429248125106,1.2940976611436044,0.9203690454597496,0.058308725756339545,0.6163263713080338,0.05814041524630717,14330.172454347827,18373.3524875,0.19785487145606617
3802,material_r_cable,3,True,1.0401941347087915,1.0880124290295168,83.68466189166583,1705.1083302308436,12514.426851977643,1.6659944648233074,0.6002420903037384,20848.965865830924,0.1792647284787006,0.16910282,3674.04618055,2940.61398357,95.61362949,99.5425547,139.45377781,0.9847882273562992,0.9858405642727588,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03802_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03802_stress.csv,1.3435527912361618,1.3643063086192442,1.3486562236420083,1.3680267099141876,1.338893345058745,0.05344786099475489,1.3587875745309075,0.05610704384664213,3163.8604733333327,2823.7909130434778,-0.00737456729137136
3803,material_r_cable,3,True,1.064828998211103,1.1315729669796657,78.31594335849793,1645.337595491772,15356.231331893094,2.103876877634992,0.4753129855793268,32307.62002678388,0.2381426020365459,0.09028266,6997.12821692,5130.56559793,377.03208855,362.61226314,261.5760415,0.966559136270301,0.9723282954387328,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03803_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03803_stress.csv,1.2718225677359616,1.315824888525282,1.2812713907740778,1.317735374754207,0.9433390792850502,0.05400681192217549,0.9490411741540159,0.05615444121772396,5274.034651111111,4908.210239583333,-0.0030131866249413245
3804,material_r_cable,3,True,1.2650453671449018,0.9578172679958348,28.24504998329096,1776.0130120908643,8995.926186744713,4.579471827331958,0.2183657936340246,41196.590532955226,0.2765930458966694,0.13643114,4762.36034722,3010.82781325,379.04718751,420.52209644,173.59487148,0.9621840687722693,0.9547394247812432,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03804_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03804_stress.csv,1.2992513551252391,1.3503147654305503,1.2913110063279425,1.352527163758653,1.1530665165630904,0.05434935957668126,1.1665946404066625,0.055701560049041296,3212.6475777777778,3079.7073369565214,-0.005831939636064893
3805,material_r_cable,3,True,1.335775000803738,1.1709191363259883,4.536065835731559,1499.2918484921206,8626.739270951854,1.3281571397211676,0.7529229562474357,11457.665355227684,0.4543094999990936,0.05779009,7791.4245181,5360.22178201,283.48791368,1420.96001086,330.59227003,0.9705215261707112,0.9330046585526776,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03805_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03805_stress.csv,1.264920581451846,1.303341087593096,1.2177597464794931,1.3052022144975586,0.9929836947500541,0.05617331585072912,0.9127290666118901,0.05419471465869313,5018.007286666668,5145.97972244898,0.04211265714608999
3807,material_r_cable,3,True,1.3336722709596538,1.3638016479743758,15.571526835663668,279.04693726877224,7665.185608655075,2.645130672182877,0.3780531565099415,20275.417561428312,0.1409582866453682,0.0075205,12513.69469091,8529.03271578,1224.31792493,1993.4374325,448.84371894,0.9505818141173528,0.9327168858756016,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03807_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03807_stress.csv,1.2267285605636458,1.2905028713416995,1.2055487535323084,1.2925130570575891,,0.059147585420837034,,0.055185018641844136,7405.970625531915,9020.990515999998,
3808,material_r_cable,3,True,1.2258361425408904,1.2856899919157507,18.27404165609525,537.3600050602715,8735.375117981792,2.654585597571661,0.3767066320689644,23188.80097758032,0.3982886148227524,0.01478578,12890.12168421,9373.96133061,899.00516578,865.00592165,515.36855027,0.9587000447122516,0.9498216258813496,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03808_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03808_stress.csv,1.2376698650446871,1.2909875949950194,1.2281245349622754,1.2930054459674842,,0.05584885122518199,,0.0550427267763375,8312.951204347824,9309.3362893617,
3809,material_r_cable,3,True,0.9093663463266848,1.3936280442441265,46.23074844582691,1094.8095394524198,5782.413920462912,4.524555239951557,0.2210161987127616,26162.85120339929,0.2624665518225775,0.02613845,15074.85727703,12501.83832607,181.94518824,553.40478764,784.01983653,0.985026992180791,0.9615145368600831,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03809_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03809_stress.csv,1.2728358461153837,1.2921837231052935,1.2444043038544232,1.2942126781755618,0.8804805172208221,0.054112898592734986,0.6448058531347164,0.055126864592269384,12393.118427659572,12415.882697872343,0.15451174852573477
3810,material_r_cable,3,True,1.26303973040234,0.8887442483346301,9.403663533582003,795.1302673900368,8319.158446071619,1.8937500557822544,0.5280527897262178,15754.40677130954,0.2006387045047675,0.11859086,3966.66534561,2938.34743381,164.13956426,109.64411862,152.50900529,0.9637966188920573,0.9607488437717396,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03810_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03810_stress.csv,1.2761353561968611,1.3240712108575938,1.3023257067938585,1.3555319012210776,2.6488399157870126,0.05407885410915672,2.9135037422656676,0.0718251813293258,3194.1004911111113,2810.8162187499997,-0.04758135109029043
