sample_id,E1,r,E2,nu,e2_over_e1,grid,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm
8215,2000.0,1.0,2000.0,0.5,1.0,A,1.9405467834934118,0.052920889706212296,1.7587334551687936,0.05535150132901253,1104.694707142857,1106.8520688888887,1.2097890747508948,1.2195418147023958,1.008061520933729,176.94385876114046,1.2195141043776032,1.209816994238328,1.209816994238328,1.2195141043776032,1.2146654447266454,35,0.12825661506907207
8212,2000.0,1.0,2000.0,0.3285714285714286,1.0,A,2.0365015854044253,0.05285712636938912,1.8599443295767386,0.05520103589095194,1014.43956,1021.4861181818183,1.2825826947121977,1.292682537981831,1.007874613708163,176.25935435284453,1.2926395718783332,1.2826259897804773,1.2826259897804773,1.2926395718783332,1.2876326163470142,35,0.157426549420962
8200,1000.0,1.0,1000.0,0.1,1.0,A,2.1764959986694725,0.07624388881234233,2.0292207633432127,0.09600817909064528,850.0349545454545,872.5365999999999,1.4261547747520742,1.436135986540679,1.0069986876356671,173.39985981373965,1.4360042653620055,1.4262876579415802,1.4262876579415802,1.4360042653620055,1.4311453806463765,35,0.355537877064595
8202,1000.0,1.0,1000.0,0.2142857142857143,1.0,A,2.1700428134767806,0.05256219108976978,2.0199256268027086,0.05438724227173417,865.3755971428573,882.2165388888891,1.430496259491327,1.4407534211943902,1.0071703519914903,174.1032506443611,1.4406452656648,1.4306053962502816,1.4306053962502816,1.4406452656648,1.4356248403428586,35,0.3142660778519229
8205,1000.0,1.0,1000.0,0.3857142857142858,1.0,A,2.1469361859628147,0.05266820613946358,1.9910990686832928,0.05470956077761555,891.0388055555554,907.7792475,1.4220133414439733,1.4325870043198239,1.0074356987854374,175.0888923877462,1.4325095727240507,1.4220914929644748,1.4220914929644748,1.4325095727240507,1.4273001728818986,35,0.25425942068170954
8208,2000.0,1.0,2000.0,0.1,1.0,A,2.1198408571789447,0.05275191447934707,1.947499708498072,0.05494941086645553,952.1378256410255,966.3189414634146,1.3310143592451245,1.3411735539083347,1.0076326709720638,175.32919247265065,1.3411062307575383,1.3310821853031123,1.3310821853031123,1.3411062307575383,1.3360939565767296,35,0.19500757065547786
8206,1000.0,1.0,1000.0,0.44285714285714284,1.0,A,2.133340431943476,0.05270831568347074,1.9751120667222382,0.05481839885598951,906.0790105263158,919.8070074999999,1.4130467513990206,1.4236837058248346,1.00752767338751,175.40894403672246,1.4236156077955233,1.4131154843179714,1.4131154843179714,1.4236156077955233,1.4183652286119277,35,0.23467588061829586
8207,1000.0,1.0,1000.0,0.5,1.0,A,2.1153185012443076,0.05274990790300333,1.9543945780314167,0.05492656882354101,922.6587499999998,930.7072317073171,1.3995849336802626,1.410252879008033,1.0076222207534906,175.72896999270978,1.4101937516810432,1.3996446118887187,1.3996446118887187,1.4101937516810432,1.4049189063441478,35,0.21523619880369513
8201,1000.0,1.0,1000.0,0.15714285714285714,1.0,A,2.173875726096224,0.06114349490880237,2.0252648475472115,0.06672495368593136,855.8178411764706,873.600597142857,1.4290681035958295,1.4391920055192584,1.0070842683409944,173.75788524154902,1.4390724412947418,1.4291887386506426,1.4291887386506426,1.4390724412947418,1.434130054557544,35,0.33476749429664354
8211,2000.0,1.0,2000.0,0.27142857142857146,1.0,A,2.0609185528008735,0.0528320820685163,1.8856721108235497,0.05514225421052807,994.9152399999999,1002.2004454545457,1.2986733905878916,1.3088209175188352,1.007813763648726,176.03219852727202,1.3087723565454075,1.298722322519306,1.298722322519306,1.3087723565454075,1.3037471540533634,35,0.16690691289515958
8204,1000.0,1.0,1000.0,0.3285714285714286,1.0,A,2.1571062968023695,0.05263020090092722,2.0033981295684296,0.05460100545023913,881.6959333333334,900.5560025641025,1.4274574530975623,1.437943224825939,1.0073457683138805,174.76663524843156,1.4378560625017305,1.4275454213083398,1.4275454213083398,1.4378560625017305,1.4327003389617508,35,0.2740334109570538
8209,2000.0,1.0,2000.0,0.15714285714285714,1.0,A,2.1021700893343214,0.05277913411514177,1.9290167162931535,0.05501595945028127,965.5812099999999,976.6734536585365,1.3224765116057753,1.3326505412029461,1.0076931646860157,175.56860187897394,1.3325898390358633,1.3225376716913695,1.3225376716913695,1.3325898390358633,1.3275635264043606,35,0.18567993539117567
