sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0,H_crown
1398,motif1_cable,1,True,0.7990022785634362,1.0322383274103013,7.915524292654244,655.9451845813705,18.382951088008024,0.21670072,2199.97986053,1500.11429119,4.86217359,74.31792393,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01398_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01398_stress.csv,,,,,,,3.80020619556054,1.3878013091271817,
1419,motif1_cable,1,True,1.2595032807393234,0.775709673552178,54.408523207588544,625.6986036500939,38.62253324094341,0.16168157,3504.41074953,1977.63056269,3.6510453,116.46089074,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01419_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01419_stress.csv,,,,,,,4.429512453276077,5.180934238499177,
1420,motif1_cable,1,True,1.0583637501223058,1.447410301884544,59.1973040527572,272.1198100878211,57.03738984189671,0.01356032,6714.46965907,6710.63499746,0.33079436,392.57262334,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01420_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01420_stress.csv,,,,,,,0.0762995351419552,0.0758828771987666,
1418,motif1_cable,1,True,0.7499623783672733,0.9495813393683564,36.9462051400232,1020.0719025242536,30.435612765801505,0.32346374,2623.39234718,1658.32946793,39.62140463,85.1749426,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01418_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01418_stress.csv,,,,,,,1.9676936249289247,3.829901491222817,
1421,motif1_cable,1,True,1.221851398594473,1.144576095640601,78.56107500350734,1159.621834970531,52.17402206621604,0.13293718,2800.42827412,2548.39058146,12.16910157,133.7940292,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01421_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01421_stress.csv,,,,,,,0.7081785919331487,0.7180202572831835,
1422,motif1_cable,1,True,1.271886647977829,1.1595542080737349,80.10306501907267,1061.3311542367917,69.83317077196271,0.1111686,2926.93816721,2737.60988807,10.09911848,148.74192164,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01422_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01422_stress.csv,,,,,,,0.5995248020594891,0.6055461939477249,
1424,motif1_cable,1,True,1.014054504088928,1.0437623741497306,11.88840738982706,487.9121261007548,155.5035936052004,0.15392346,1347.96416647,1044.87865074,28.66358058,43.46651506,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01424_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01424_stress.csv,,,,,,,0.9002307977739321,0.7441244559016091,
1425,motif1_cable,1,True,1.4251935784653615,1.1044640534558343,87.89513046112012,823.5901496436668,112.03873593914936,0.07741306,2812.2516075,2740.62817008,5.10839436,174.98632211,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01425_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01425_stress.csv,,,,,,,0.4290824055005009,0.4235733982321087,
1426,motif1_cable,1,True,1.1476980760311863,0.7715211805537083,5.943019856292748,336.9446738291939,123.49650348497391,0.0,2658.60578111,2658.60578111,0.0,75.10602219,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01426_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01426_stress.csv,,,,,,,2.0501380188617725e-15,2.275281746083065e-15,
1427,motif1_cable,1,True,0.7470037543718551,1.3772418289163442,2.369636881896502,596.8893828634889,175.75603733188794,0.03214566,5779.52711737,5730.47655527,4.99338316,398.4787563,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01427_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01427_stress.csv,,,,,,,0.1829982383156047,0.1639353567087353,
1428,motif1_cable,1,True,1.2861116576801503,1.3255002385561196,35.0412928943161,643.8061591708287,66.62777742276911,0.04332818,4847.39292956,4804.30183263,2.21647114,254.89058568,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01428_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01428_stress.csv,,,,,,,0.2417595928075018,0.2406646060839883,
1423,motif1_cable,1,True,1.2374672086393834,0.7650966796045094,28.319011680496203,854.3141652738625,58.098619701945935,0.19660639,3538.08948361,2037.50357051,13.78007962,118.34564944,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01423_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01423_stress.csv,,,,,,,5.514949190835342,4.1416933433370815,
1430,motif1_cable,1,True,0.7099171790106507,1.23399338672673,57.33856151319921,1056.1712902407946,13.818593679878118,0.1166086,4358.06554748,3718.85477655,21.88559753,239.76330811,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01430_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01430_stress.csv,,,,,,,4.933034785479256,4.16100230936996,
1431,motif1_cable,1,True,1.1675740328249196,1.018036267209333,57.87384495765579,419.0779038757231,13.011617591220272,0.10950788,1101.7676407,1011.98982725,5.83166514,60.32206063,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01431_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01431_stress.csv,,,,,,,0.5969303727401694,0.6056321731225173,
1432,motif1_cable,1,True,1.3154833883309562,0.7973835393411115,0.3925018330645633,457.6488719301026,158.38561010826425,0.00280447,2928.42949178,2926.98656602,21.64476426,120.65537883,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01432_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01432_stress.csv,,,,,,,0.0929397654635826,0.3313037758132492,
1433,motif1_cable,1,True,0.715269146268712,0.728952032330358,24.63261976041308,516.4731665458958,65.39910093093658,0.0,2986.99847267,2986.99847267,0.0,164.30272781,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01433_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01433_stress.csv,,,,,,,2.0501380188617725e-15,2.275281746083065e-15,
1429,motif1_cable,1,True,1.337572755987006,1.0216242362794217,32.30094037216343,770.8446680134292,161.822910793914,0.10669998,2036.21299651,1967.52514664,10.16337197,121.82911457,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01429_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01429_stress.csv,,,,,,,0.5776172600712394,0.5823688139592776,
1435,motif1_cable,1,True,1.0902964987938395,0.8029630157965539,3.287274379759672,318.37672135991363,79.15213394037943,0.19232124,2591.95011217,978.11579102,9.50012186,49.09810665,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01435_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01435_stress.csv,,,,,,,4.4062477124375805,5.115324817614483,
1204,motif1_nocable,1,False,1.1826369596641009,1.2482113658366665,62.39009331659985,412.4827453969112,0.0,0.03914839,3519.87661582,3502.87655833,0.0,183.79715709,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01204_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01204_stress.csv,,,,,,,0.2184118634701885,0.2185898545100193,
1436,motif1_cable,1,True,1.253068198717501,0.9567442595506368,21.51397061674049,661.4498338887195,67.85945486746857,0.13865978,1737.13716896,1564.56786098,10.18038236,86.25003689,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01436_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01436_stress.csv,,,,,,,0.7185335898222573,0.7735450703624951,
1244,motif1_nocable,1,False,0.9444450878198828,0.9779043105322276,80.34745098141774,769.5564716868621,0.0,0.25710543,1367.66532825,1062.48054291,0.0,38.40719303,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01244_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01244_stress.csv,,,,,,,1.1482740518912045,1.4333378924625226,
1322,motif1_nocable,1,False,0.9943235837551953,1.3692833645241846,80.89680214823389,486.8579345110683,0.0,0.03121335,5421.01765569,5406.98565605,0.0,310.43729524,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01322_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01322_stress.csv,,,,,,,0.1751176981532155,0.1748990453847954,
1439,motif1_cable,1,True,0.9332455192430597,1.2589341514585364,62.13510039635817,651.510501925192,28.35647818949056,0.0655569,3818.57230441,3746.79235696,4.73701599,203.49859391,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01439_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01439_stress.csv,,,,,,,0.3642200039422889,0.3667937300171311,
1331,motif1_nocable,1,False,1.147163288971328,1.1135957515267545,40.80485774641668,1187.4222862098643,0.0,0.16569053,2468.4262617,2218.51213187,0.0,106.26261775,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01331_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01331_stress.csv,,,,,,,0.8778101741674613,0.8642504483685041,
1442,motif1_cable,1,True,0.8326092208900148,0.833239003526246,61.60447859124662,482.9080732250535,4.995067747686923,0.0,1941.02919697,1941.02919697,0.0,105.74254944,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01442_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01442_stress.csv,,,,,,,2.0501380188617725e-15,2.275281746083065e-15,
1441,motif1_cable,1,True,1.1907064984768188,1.3668057430806724,84.52457848519879,759.2133459491982,87.62696748138255,0.04761808,5440.90010753,5398.71768812,2.01477536,287.99530673,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01441_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01441_stress.csv,,,,,,,0.2641828169766064,0.266340394664354,
1438,motif1_cable,1,True,0.8130317822723532,1.1186218473776022,75.15677419740535,968.2237114698476,62.51504313390664,0.17679507,2982.41526567,2379.79450878,29.5280797,127.2548129,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01438_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01438_stress.csv,,,,,,,2.211964297801927,2.935299350793848,
1444,motif1_cable,1,True,1.0523444666761388,1.4772970869524258,33.78323160766761,905.5590295894162,178.08001121740344,0.0408462,7332.23295828,7304.05221242,3.15699927,435.35831731,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01444_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01444_stress.csv,,,,,,,0.2286523527767393,0.2267263126992859,
1445,motif1_cable,1,True,1.0091208506263245,1.4039714809861574,81.70054222081845,376.4163636550669,94.70710914133817,0.02140331,5983.50067853,5975.82046695,0.31443814,348.89041257,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01445_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01445_stress.csv,,,,,,,0.1203459560358183,0.1198820214885725,
1447,motif1_cable,1,True,0.9286356428294946,1.1906113772907003,8.951013769556141,1080.234489760556,111.38408594858112,0.13601964,3346.42473383,3074.62178181,19.28757084,151.85749492,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01447_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01447_stress.csv,,,,,,,0.8261874829676855,0.6755566662135049,
1437,motif1_cable,1,True,0.978593616926557,1.2638389337410962,67.68660337398059,932.6035483686026,127.58210771540963,0.08875879,3992.73793774,3892.45159531,4.11652316,206.10186346,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01437_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01437_stress.csv,,,,,,,0.4836244058181783,0.4974635649188025,
1446,motif1_cable,1,True,1.0189568565953455,0.8175543638396152,87.47256882148031,554.6044672608386,151.27819664689764,0.28486688,2483.38324015,1018.06549968,47.81533224,46.59238459,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01446_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01446_stress.csv,,,,,,,1.8118447077835604,2.5301407882558467,
