,S1,ST,S1_conf,ST_conf
sf_wale,0.05250594922241104,0.3441866770549561,0.05538569377827412,0.05246241465593168
sf_course,0.43662063105785,0.7350290683957538,0.07610931624346731,0.07680793074431029
knit_dir,0.0065987192114045886,0.11728051149156554,0.03250615572996228,0.02777810033812654
pressure,0.13770224805895043,0.259373246865938,0.04646035644540176,0.03567078095884934
