sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0,cable_wale_lrest,cable_course_lrest,cable_wale_tension,cable_course_tension
2423.0,motif1_nocable,1.0,False,1.0754156120901537,1.0009272497641195,55.97768117050372,1074.3828581853968,,0.23494699,1681.40901991,1321.95970969,,54.78495181,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02423_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02423_stress.csv,,,,,,,1.1558065433828824,1.1742298869087875,-1.0,-1.0,0.0,0.0
2424.0,motif1_nocable,1.0,False,0.9511991728538716,1.122427520798161,50.83834318522634,1109.6242965623032,,0.18346661,2668.52471367,2395.69710172,,112.75382241,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02424_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02424_stress.csv,,,,,,,0.9465532310938428,0.9723937036350806,-1.0,-1.0,0.0,0.0
2413.0,motif1_nocable,1.0,False,0.9420800646552304,1.0935021973816357,60.46135413670251,1002.2624295521364,,0.19456432,2359.30443718,2072.22349605,,95.28445234,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02413_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02413_stress.csv,,,,,,,0.9614709027332392,1.070355780145307,-1.0,-1.0,0.0,0.0
2417.0,motif1_nocable,1.0,False,1.367923517624582,1.2582362229554025,13.053689284223545,1038.455162707059,,0.07567742,4175.14446922,4096.80784768,,223.12444233,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02417_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02417_stress.csv,,,,,,,0.4187430932545309,0.4154921114314397,-1.0,-1.0,0.0,0.0
2425.0,motif1_nocable,1.0,False,0.9888784839948592,1.185373007460185,75.91492812316856,789.300810133595,,0.10902193,2895.84558563,2781.68982031,,137.57068773,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02425_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02425_stress.csv,,,,,,,0.5778909621494452,0.6208180047593383,-1.0,-1.0,0.0,0.0
2410.0,motif1_nocable,1.0,False,1.1728699895366392,0.9646069442703016,74.51001324797129,1170.1977070402322,,0.22776772,1724.13313934,1460.35958281,,71.06483866,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02410_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02410_stress.csv,,,,,,,1.1763718340643357,1.103652888704042,-1.0,-1.0,0.0,0.0
2426.0,motif1_nocable,1.0,False,1.069590861348528,1.3409167616735675,47.58692850106936,841.5122784860874,,0.05909699,5031.3150952,4987.58343628,,270.89398617,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02426_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02426_stress.csv,,,,,,,0.3292660628444701,0.3282462028238038,-1.0,-1.0,0.0,0.0
2405.0,motif1_nocable,1.0,False,1.3874423340735054,0.9082979304835028,72.8993339261611,388.6519162835498,,0.07137164,2555.01382703,2460.95165245,,140.83230224,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02405_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02405_stress.csv,,,,,,,1.1288494256121693,2.4045482475982305,-1.0,-1.0,0.0,0.0
2416.0,motif1_nocable,1.0,False,1.0002000953876775,1.2990746374254902,89.69281794218539,744.4101308550426,,0.0621465,4382.78588845,4333.06263806,,234.93926186,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02416_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02416_stress.csv,,,,,,,0.3415214629975429,0.3496910426625851,-1.0,-1.0,0.0,0.0
2433.0,motif1_nocable,1.0,False,1.3269599935437664,0.9595782587781152,4.527844542348798,204.11730095831723,,0.0393456,1888.7241467,1873.68767194,,105.16975698,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02433_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02433_stress.csv,,,,,,,0.2184515909345987,0.2214369237856157,-1.0,-1.0,0.0,0.0
2431.0,motif1_nocable,1.0,False,1.3812171486485856,1.1828611794795416,20.927787482616555,913.5868032692836,,0.07853343,3298.83123365,3220.79925121,,187.37135594,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02431_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02431_stress.csv,,,,,,,0.4328499979263281,0.4320982073461684,-1.0,-1.0,0.0,0.0
2411.0,motif1_nocable,1.0,False,1.1414743705379544,0.94560615488215,38.04283370077949,583.0134447433031,,0.1854017,1335.8634113,1053.86889059,,51.81219732,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02411_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02411_stress.csv,,,,,,,0.9620330143775424,0.9754856926845552,-1.0,-1.0,0.0,0.0
2437.0,motif1_nocable,1.0,False,1.2007125804318588,1.2118239228413108,84.06008810099839,1180.1058917261614,,0.11521885,3453.96332386,3309.34702907,,166.91156188,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02437_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02437_stress.csv,,,,,,,0.6148767554716055,0.6350424963081541,-1.0,-1.0,0.0,0.0
2414.0,motif1_nocable,1.0,False,1.0645123446818583,0.9405795892565686,26.41309240780131,532.8269648456667,,0.21609787,1126.63058852,764.83595912,,33.14337062,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02414_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/02414_stress.csv,,,,,,,1.1019103937153392,1.113256938256406,-1.0,-1.0,0.0,0.0
