,S1,ST,S1_conf,ST_conf
sf_wale,0.10064836046487674,0.1817516203231169,0.037939378231364784,0.02174864684416153
sf_course,0.6107633647004996,0.7030671287633552,0.06942551836240358,0.0641305624552956
knit_dir,0.007439104236987284,0.03731251661313413,0.01611507226327787,0.00798097114783924
pressure,0.16427600789806787,0.22991256986194838,0.03740507062204266,0.021674119347308365
cable_wale_lrest,0.00031380845429545754,0.0004651224354145052,0.0019589721203353045,5.5205150210994885e-05
cable_course_lrest,-0.00013992810918808803,2.9244914094496934e-05,0.00045346363970558834,4.565702952350761e-06
