,S1,ST,S1_conf,ST_conf
sf_wale,0.23823676361842752,0.3429519439856384,0.04744241108937708,0.03887806643408
sf_course,0.5089835263309048,0.6163416130607208,0.06667373394262806,0.0693866534979995
knit_dir,0.0004653203286325672,0.000650160070109875,0.001924503187032263,0.00010247614895477327
pressure,0.13220957746843273,0.13463700090347072,0.028134103925485463,0.014918411918484852
L_rest,0.010137720529071475,0.01792982144736832,0.011345283769606345,0.002273388294096517
