,S1,ST,S1_conf,ST_conf
sf_wale,0.4701067896344082,0.567377788033979,0.05343439807372136,0.05646705499243832
sf_course,0.07572448378529713,0.13541633755489335,0.029396328144131626,0.022483260036274086
knit_dir,0.00687794808216823,0.028719294035883185,0.014040657824937405,0.005108316381800074
pressure,0.09674436098300851,0.12215898413948677,0.03154456110031993,0.014530342289766773
E1,0.12696204875168482,0.1862134594731613,0.039745558291016364,0.025451903673233186
r,-0.0026829918162067905,0.006589375329182339,0.0076119901123247145,0.0010406552493600338
nu,0.09003777074111446,0.11121465803494596,0.025721134239387704,0.01261633917591401
