L_rest,crown_height,H_mean_x0,H_mean_y0,H_anisotropy,max_stress,mean_stress,cable_wale_tension,cable_course_tension
-1.0,0.13610704,1.4385606096612347,1.2242802428661828,0.2142803667950519,2834.20672433,2671.52539923,0.0,0.0
1.2,0.07247458,2.116671006039776,2.8187295720085257,-0.7020585659687497,5000.01772411,2556.25195434,1460.19750762,1981.54580145
1.2249999999999999,0.09063479,1.5418225948282145,1.361332689823868,0.18048990500434647,5193.59483363,2568.01388037,688.0766525,676.72410694
1.25,0.10568571,1.1564143904340602,1.0770202220689624,0.07939416836509783,4616.72872298,2586.03240832,385.67256131,383.94158933
1.275,0.11681969,1.0813212697470798,0.9619038367288438,0.11941743301823593,4023.10667924,2607.61960696,219.28101499,220.97191102
1.2999999999999998,0.12563895,1.2371656851963613,1.0694167710505453,0.16774891414581594,3483.90975805,2632.52552494,108.54080466,111.88412861
1.325,0.13334196,1.3891514197961163,1.181123912905969,0.20802750689014737,3003.44194191,2660.07028463,25.4915985,30.06699984
1.3499999999999999,0.14487449,1.4615207881520471,1.250178336382903,0.211342451769144,2954.17497828,2719.59018063,0.0,0.0
1.375,0.14487449,1.4615207881520471,1.250178336382903,0.211342451769144,2954.17497828,2719.59018063,0.0,0.0
1.4,0.14487449,1.4615207881520471,1.250178336382903,0.211342451769144,2954.17497828,2719.59018063,0.0,0.0
