factor,nominal,delta_abs,delta_rel,kind,status,crown_height_base,crown_height_plus,crown_height_minus,crown_height_half,crown_height_elast,crown_height_asym,max_stress_base,max_stress_plus,max_stress_minus,max_stress_half,max_stress_elast,max_stress_asym,H_apex_base,H_apex_plus,H_apex_minus,H_apex_half,H_apex_elast,H_apex_asym,L_pos_plus,L_pos_minus,L_pos_mean,L_pos_asym,L_pos_shape_mean,L_target_base,L_target_plus,L_target_minus,L_target_half
s_wale,1.299156,0.050000000000000044,0.038486525097832784,systematic+independent,estimate,0.37884003,-0.006011979999999972,0.005889929999999988,-0.00595095499999998,-0.40815216353878797,0.020509313211070336,2850.78730713,479.7215472600001,-489.02783364000015,484.3746904500001,4.414768395891162,0.019212990611368816,1.9829377065020002,0.022905112053673626,-0.02912583156691051,0.026015471810292068,0.3408897433777018,0.23911615205748002,0.005827406660790494,0.005876527322388972,0.005851966991589732,0.008393871952639631,0.010231374096349066,0.010262419619134875,0.0024689692124845054,0.000500929533472548,0.0009840198395059787
s_course,0.960304,0.050000000000000044,0.05206684549892538,systematic+independent,estimate,0.37884003,-0.01779599999999998,0.018480129999999984,-0.01813806499999998,-0.9195467739647243,0.03771791533440892,2850.78730713,-194.36506672999985,126.69746429999987,-160.53126551499986,-1.0815174882640688,0.42152288660352427,1.9829377065020002,0.040101636142201524,-0.09038836599823119,0.06524500107021636,0.631941541101254,0.7707368998570684,0.014262878175774946,0.014679514805166992,0.014471196490470968,0.028790752006331553,0.02530093302449754,0.010262419619134875,0.008798819735137185,0.0058322077270975565,0.0014833060040198142
pressure,1000.0,50.0,0.05,systematic,estimate,0.37884003,0.0008612800000000198,-0.0008575900000000192,0.0008594350000000195,0.04537192123018359,0.004293518416169406,2850.78730713,-2.8264795400000366,2.6347267199998896,-2.730603129999963,-0.019156835188444618,0.07022361393109135,1.9829377065020002,-0.007641408460772325,0.007422196447706142,-0.007531802454239234,-0.07596610251086207,0.029104854302544957,0.0012770691242401338,0.0013147691644016272,0.0012959191443208805,0.02909135213157907,0.002265739636471459,0.010262419619134875,1.904371792135935e-05,0.00013263062703051248,-5.6793454554576565e-05
E1,5000.0,500.0,0.1,systematic,estimate,0.37884003,-0.0014955700000000016,0.00181619999999999,-0.0016558849999999958,-0.043709346132191886,0.19363059632767055,2850.78730713,291.73394230999975,-293.0227422799999,292.3783422949998,1.0256055987191433,0.004407987130248236,1.9829377065020002,0.01352571121739432,-0.01767719603058371,0.015601453623989014,0.07867848582853743,0.2660960262578358,0.00239461731614653,0.002746719235519018,0.002570668275832774,0.13696902190089993,0.0044944663641236235,0.010262419619134875,0.00034461571259772686,0.0002335923358746106,5.5511688361558134e-05
r,2.5014,0.25014000000000003,0.10000000000000002,systematic,estimate,0.37884003,-0.0007051699999999772,0.0008675499999999947,-0.000786359999999986,-0.02075704618648631,0.2064957525815408,2850.78730713,77.70234402000006,-83.07510429000013,80.38872415500009,0.28198780019099556,0.0668347498542293,1.9829377065020002,0.009957759823199908,-0.011130333092477906,0.010544046457838907,0.05317386634620572,0.111207141771083,0.0008408367342835779,0.0009803218963740999,0.0009105793153288389,0.15318288010984465,0.0015920249777410073,0.010262419619134875,0.00013943416423859746,-8.456726259819386e-05,0.00011200071341839566
R,0.5719629579059113,0.0020000000000000018,0.003496729940908174,systematic,estimate,0.37884003,9.939000000003251e-05,-9.737999999998026e-05,9.838500000000638e-05,0.07426957443432877,0.020429943588927236,2850.78730713,0.680669620000117,-0.7068968399998994,0.6937832300000082,0.06959802076146715,0.03780319106269271,1.9829377065020002,-0.008892047033259853,0.008937735266713931,-0.008914891149986892,-1.2857155055441944,0.005124934526471116,0.0014888685131457882,0.0014886924452744699,0.001488780479210129,0.00011826315146994633,0.0013255272206473784,0.010262419619134875,0.0002316717065437169,-1.8823706523962008e-05,0.00012524770653383945
