face,region,dist_to_seam_M,dist_to_seam_C,strain_max,strain_min,resid_rot
78,0,0.041648384,0.086909706,0.064456018,-0.11985525,0.12687572
79,2,0.044161264,0.14345315,0.12086611,-0.085650588,0.13358174
80,0,0.27574237,0.32822728,0.055950083,-0.15998204,0.13571658
81,0,0.10046583,0.17055325,0.081835563,-0.12941775,0.12131053
82,0,0.16958098,0.42012536,0.059334323,-0.13369423,0.12874994
83,0,0.083928985,0.38329595,0.072149632,-0.13025115,0.12680751
84,0,0.023773553,0.27002226,0.10926022,-0.12705058,0.12969267
85,2,0.047338897,0.047428317,0.085159152,-0.09996535,0.098969509
86,0,0.017446033,0.54123903,0.091050923,-0.12791204,0.13096172
87,0,0.086268838,0.43703088,0.071165517,-0.13510261,0.13337
88,2,0.20844786,0.2113687,0.18388982,-0.065020178,0.14416709
89,2,0.22816869,0.23570048,0.17447206,0.028176675,0.17203388
90,2,0.15280248,0.50206378,0.25139336,-0.10779396,0.18819555
91,2,0.023391439,0.54537438,0.29674945,-0.13187209,0.21198375
92,0,0.10062994,0.4201401,0.069933685,-0.12929721,0.12919615
93,2,0.051483827,0.5733026,0.27038844,-0.12697932,0.19197252
94,2,0.14637076,0.23794665,0.14905558,0.0026409527,0.095356506
95,2,0.10935644,0.62409501,0.25294657,-0.12141307,0.18852032
96,2,0.27522869,0.41833663,0.32871518,-0.049527059,0.23017087
97,0,0.036234941,0.40487425,0.085397716,-0.11640977,0.13039838
98,2,0.15239479,0.15999,0.11954782,-0.13012042,0.1301766
99,0,0.15308349,0.26069683,0.10817028,-0.14670232,0.14040116
100,2,0.016631716,0.19213677,0.15993019,-0.088446043,0.10843908
101,0,0.018542054,0.14828647,0.034736841,-0.12095734,0.10011165
102,0,0.24583948,0.24200421,0.057281399,-0.15733422,0.13355139
103,0,0.1094171,0.46293385,0.056255747,-0.12786471,0.12381689
104,0,0.19593823,0.10521685,0.07789805,-0.11274521,0.12624928
105,0,0.20741732,0.086481373,0.060000853,-0.086016336,0.10854952
106,2,0.1461944,0.28068298,0.16631201,-0.11410123,0.15097624
107,0,0.04305535,0.10635904,0.056582882,-0.11499273,0.11793799
108,2,0.023004452,0.24905342,0.20631589,-0.083269759,0.14027673
109,0,0.082415522,0.4790538,0.058930283,-0.12340525,0.12694984
110,0,0.02350165,0.33323117,0.07526518,-0.10687782,0.11567544
111,2,0.089297346,0.26765741,0.16321473,-0.079314636,0.11652577
112,2,0.021347809,0.50472906,0.21835515,-0.089464947,0.15671716
113,0,0.017743877,0.41380113,0.050457313,-0.11952263,0.11255794
114,0,0.040367267,0.50780582,0.060193511,-0.12216973,0.12847917
115,2,0.041461593,0.40206467,0.17832908,-0.078172332,0.13472855
116,2,0.15357969,0.31864988,0.19444773,-0.053443516,0.11995355
117,0,0.096318252,0.4717209,0.075841097,-0.12183769,0.13001166
118,2,0.21447901,0.26523092,0.15532952,0.034537577,0.14731463
119,0,0.03953186,0.48887701,0.087417912,-0.12350493,0.1322895
120,2,0.15519592,0.4648745,0.22669141,-0.061208673,0.17357185
121,2,0.10811464,0.44660586,0.20366826,-0.078795732,0.16189894
122,0,0.03447016,0.46212609,0.086802633,-0.11510461,0.12093414
123,2,0.10197014,0.60583911,0.26970438,-0.12223505,0.18602931
124,2,0.14028947,0.51470312,0.21595175,-0.1136817,0.18389573
125,2,0.21085566,0.35245005,0.19670015,-0.102395,0.13952086
126,0,0.020315918,0.49194722,0.087899264,-0.13397971,0.14745866
127,2,0.046257915,0.36883012,0.17832713,-0.06538868,0.1208432
128,2,0.278453,0.4076209,0.25420613,-0.058443546,0.15154352
129,2,0.11604034,0.49831153,0.22963761,-0.091752352,0.16689452
130,2,0.088750912,0.5182206,0.25231907,-0.11391281,0.1830799
131,2,0.095899214,0.52043538,0.25747258,-0.10242308,0.17222411
132,0,0.2173566,0.33295805,0.060157841,-0.16007445,0.13281107
133,0,0.27218554,0.29735486,0.071062687,-0.14926759,0.13642142
134,0,0.079664491,0.19284672,0.10638036,-0.13103212,0.12690118
135,0,0.021526945,0.11398657,0.064384883,-0.12436368,0.12891587
136,0,0.20359057,0.26105108,0.09388045,-0.13989196,0.13081244
137,0,0.017279119,0.21233266,0.048396933,-0.12125127,0.097472787
138,2,0.046255135,0.21142008,0.203522,-0.035391353,0.11543794
139,0,0.021432137,0.073763304,0.049510859,-0.088607161,0.11456768
140,0,0.16272457,0.10371721,0.070736028,-0.12562644,0.1391188
141,0,0.10941498,0.46013693,0.06531906,-0.12350573,0.12912152
142,2,0.021464733,0.55273148,0.23051281,-0.089813451,0.17153282
143,0,0.14872143,0.21938126,0.054324929,-0.14523083,0.11461504
144,0,0.12446003,0.37038965,0.077259626,-0.1458678,0.1507373
145,0,0.11511555,0.37168468,0.071419948,-0.13014093,0.12455586
146,2,0.021351883,0.18145109,0.25692707,-0.06233128,0.11248953
147,2,0.16128506,0.28652072,0.13395897,-0.075239916,0.101074
148,2,0.043209964,0.30140935,0.17805549,-0.073642655,0.12617856
149,2,0.19881181,0.3210977,0.27173512,-0.043081401,0.13679219
150,2,0.22168891,0.35032654,0.1323175,-0.0528823,0.079776506
151,0,0.11452705,0.45685696,0.056654865,-0.12797335,0.12048105
152,2,0.11235864,0.11997279,0.082834212,-0.13935112,0.13172914
153,0,0.25083611,0.14915105,0.075146436,-0.12209087,0.1254065
154,2,0.1502065,0.16319143,0.16240432,-0.059137794,0.10964111
155,0,0.02021844,0.44575348,0.046317132,-0.11791513,0.11849562
156,2,0.043959136,0.5757893,0.2296383,-0.1312732,0.18531535
157,0,0.086637651,0.39967249,0.067860086,-0.13135053,0.1257875
158,2,0.2264006,0.43350963,0.27853484,-0.014997333,0.16084501
159,2,0.12106453,0.36508917,0.19729278,-0.054151595,0.1283302
160,0,0.19111992,0.23513625,0.053058132,-0.14967165,0.12747635
161,0,0.083502442,0.15310568,0.060629662,-0.13921386,0.1232894
162,2,0.042098005,0.08086766,0.15344594,-0.094077126,0.13795633
163,0,0.082119739,0.081929065,0.060381393,-0.074986327,0.10451945
164,0,0.21187837,0.32719973,0.083297508,-0.15524482,0.14951891
165,2,0.019739896,0.036401461,0.22991796,-0.057859836,0.14964632
166,2,0.021591348,0.26379167,0.15844883,-0.090645362,0.11263667
167,0,0.12555421,0.39779153,0.080661725,-0.14512705,0.15181498
168,0,0.018870051,0.37985186,0.040446196,-0.11340017,0.11276904
169,2,0.046113611,0.21330311,0.16379645,-0.093558835,0.12603615
170,0,0.17173555,0.37804859,0.06514152,-0.13735931,0.12966377
171,0,0.14332376,0.40883295,0.061106825,-0.13044215,0.12957216
172,0,0.17232568,0.41092314,0.052544557,-0.14293342,0.12102792
173,2,0.10021237,0.18024303,0.1866777,-0.015291158,0.10671275
174,2,0.021560583,0.47306544,0.21994138,-0.10541353,0.16814375
175,0,0.047700196,0.4983227,0.068222446,-0.12243006,0.12574849
176,0,0.049462341,0.50551478,0.083258977,-0.1266088,0.1437841
177,2,0.17349773,0.30621963,0.25554534,-0.034579094,0.13504447
178,0,0.043817734,0.41483032,0.065951957,-0.11694007,0.12096811
179,2,0.24407211,0.39246057,0.036182292,-0.25423267,0.19445319
180,2,0.086929674,0.31543529,0.17704382,-0.070536366,0.11839763
181,2,0.087383477,0.62479938,0.25315037,-0.12396573,0.1863273
182,2,0.0845408,0.49706667,0.21530436,-0.11162946,0.17613068
183,2,0.16619798,0.3080983,0.20030601,0.0035752166,0.1372328
184,2,0.17383075,0.45076594,0.21705668,-0.043704055,0.16933046
185,2,0.16630875,0.35092824,0.21424604,-0.035076944,0.13860131
186,0,0.1952006,0.18399449,0.092866406,-0.13126941,0.13239569
187,2,0.042285353,0.5960931,0.25244378,-0.12859011,0.19744721
188,2,0.023472018,0.45829722,0.25018325,-0.097857227,0.17897066
189,2,0.042623797,0.54773815,0.25690381,-0.12982782,0.19704681
190,0,0.23355816,0.35857467,0.056063566,-0.16428566,0.14004156
191,0,0.23159137,0.25948256,0.05506901,-0.15561782,0.13457749
192,0,0.094450365,0.046089646,0.070508473,-0.13396573,0.1355426
193,0,0.038721544,0.17661682,0.10219782,-0.13359421,0.12805437
194,0,0.17773432,0.26413414,0.053473323,-0.15170992,0.11953848
195,2,0.021460479,0.11120722,0.15939286,-0.10219122,0.1302873
196,2,0.087424772,0.16078286,0.14479236,-0.09411314,0.12274485
197,2,0.043582196,0.1483913,0.15541077,-0.098166907,0.13509793
198,2,0.04537802,0.27033359,0.20356922,-0.06276646,0.12201637
199,2,0.045324323,0.24642414,0.17415304,-0.080693801,0.12956482
200,0,0.094729083,0.46280994,0.065779534,-0.13418362,0.13541895
201,2,0.09131865,0.091734719,0.13440772,-0.11427176,0.13303982
202,2,0.021456862,0.31603973,0.19068148,-0.060161894,0.11940634
203,0,0.1394856,0.19423022,0.097789223,-0.12985885,0.12266094
204,0,0.20311968,0.12697732,0.057805289,-0.11285373,0.11765909
205,2,0.27035268,0.38548897,0.22346035,-0.011863936,0.11508823
206,2,0.28777317,0.41893953,0.29845902,0.032817171,0.18599541
207,2,0.14517867,0.25927384,0.21360998,-0.072156529,0.13672038
208,2,0.10826456,0.24350324,0.096990293,-0.11755676,0.13408227
209,2,0.091994325,0.34910265,0.18569647,-0.059911556,0.1311078
210,2,0.21536919,0.32897697,0.19301996,-0.040280261,0.10320769
211,2,0.13865412,0.2015887,0.18793917,-0.019170485,0.10863229
212,0,0.038258361,0.37580263,0.094937781,-0.11568396,0.12027401
213,2,0.083816172,0.52924531,0.23261083,-0.1073433,0.174617
214,0,0.04468616,0.50783578,0.076105708,-0.12581159,0.12548826
