factor,percent,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.38615626,0.67514207810556,1633.75851647,1012.95790696,1.6128592365432954,43.77567963,0.0,0.0,0.0,0.024591967188114103,0.0918125693388024,1.1812951177577657,0.1997658666207347,2.162824368894797,10.826796416632202,2.126268809224932
s_wale,0.25,0.002792718463969866,0.38530956,0.6736617374850766,1639.41026091,1013.29583025,1.6178989510945934,43.73890889,0.0005927494996902547,0.0009589906465132983,0.0010363424615126267,0.024555468764299124,0.09087355040515643,1.177571119097781,0.19215876224503958,2.162983475950522,11.256231309360226,2.1363618077092865
s_wale,-0.25,-0.002792718463969866,0.38700428,0.6766247265678046,1628.51502235,1012.67081042,1.6081386029825249,43.82422304,0.0005939881661704311,0.0009597017906100036,0.0010385081025966413,0.024642905875052253,0.0927524587666354,1.1849693240412669,0.20730873604606548,2.1626299120364685,10.43192850086123,2.1162703496201236
s_wale,0.5,0.005585436927939732,0.38446417,0.6721836872227045,1645.46481882,1013.68463222,1.6232512228348397,43.71376811,0.001184278414051414,0.0019173001577478732,0.0020705508943924087,0.024533382460633215,0.08993535230517809,1.1737963528828665,0.1844860361621694,2.1631066696035637,11.72504279783062,2.146554112834304
s_wale,-0.5,-0.005585436927939732,0.38785363,0.6781097003554598,1623.68499301,1012.43447681,1.6037432843317831,43.88469156,0.0011892277881418766,0.0019201381937766996,0.00207920420667785,0.024708286266078554,0.09369322721141644,1.1885932501062082,0.21478695618911292,2.1623995440233035,10.067648345085635,2.1063633219524354
s_wale,1.0,0.011170873855879464,0.38277724,0.6692343179030964,1658.75911258,1014.61499247,1.6348655646629882,43.69784416,0.00236372426273871,0.00383190213174866,0.00413265270078477,0.02453222308323863,0.08806139700323748,1.1660949691671865,0.16894323581238835,2.1632467025219846,12.804577183097596,2.167229085963669
s_wale,-1.0,-0.011170873855879464,0.3895564,0.6810867637761999,1615.28456511,1012.11375497,1.5959515985017698,44.04208591,0.002383517028260722,0.0038432774135235197,0.004167257678691865,0.024882266651466683,0.09557745216325553,1.1956931544419047,0.22955307507426603,2.1618332338095434,9.417574707331354,2.0868311802196557
s_wale,1.5,0.016756310783819197,0.38109537,0.6662937953102387,1673.59265693,1015.74907887,1.647643785010209,43.72690009,0.003538443822740131,0.005743978563443623,0.0061864912295984936,0.02458780054008627,0.08619056825988561,1.1581892696106353,0.15313419143256057,2.16324434778871,14.1264620758545,2.188307274867347
s_wale,-1.5,-0.016756310783819197,0.3912647,0.6840734956552267,1629.20912293,1011.99489751,1.6098985547641074,44.24944496,0.003582984274020895,0.005769588953513072,0.006264364194385993,0.025113465183911637,0.0974654217266493,1.2025967261384565,0.2440677306300727,2.1611257216468402,8.854614725460793,2.0676618110642497
s_wale,2.0,0.022341747711758928,0.37941845,0.6633619271239849,1689.91346763,1017.08673803,1.6615234516804351,43.80000725,0.004708541709052903,0.007653688853258898,0.00823224938603011,0.02469906201613172,0.08432271676088067,1.150076381693547,0.13705452062232526,2.163098242764769,15.782757350452654,2.209793407753554
s_wale,-2.0,-0.022341747711758928,0.39297862,0.6870700533453873,1652.01938626,1012.07680697,1.6323063377036453,44.5088682,0.00478774720306099,0.007699234341238142,0.008370729497221356,0.02540109075062477,0.0993572871696571,1.2093055260519654,0.25833453963790687,2.160276512466024,8.36232164500327,2.048843455058662
s_course,0.25,0.002792718463969866,0.38497566,0.673077958421442,1653.54299005,1018.36796555,1.6237185830535772,44.472343,0.0009075425967605666,0.001223721905254619,0.001586715685371116,0.02461507583397057,0.09073867540085265,1.18386067421291,0.2029441295876233,2.164777218838197,10.666862959953376,2.1139626109758813
s_course,-0.25,-0.002792718463969866,0.38733786,0.6772079461546486,1614.99143814,1007.61011367,1.6027939936586642,43.09075598,0.0009090128722034285,0.0012253778384644996,0.001589286263452329,0.024602187517402188,0.09288637772876063,1.1787051311920986,0.19654509587031832,2.160865166513879,10.994246164959675,2.1387062831144723
s_course,0.5,0.005585436927939732,0.38379606,0.6710155871022944,1674.31689734,1023.83874774,1.6353326156446526,45.18055273,0.0018136202415261094,0.002445803441018943,0.0031708700999907307,0.024671264094424508,0.08966469298056454,1.1864019510215371,0.20607999938816945,2.1667239026549048,10.513994124066807,2.1017860109210313
s_course,-0.5,-0.005585436927939732,0.38852046,0.6792755625687077,1600.308188,1002.32628323,1.5965940580177158,42.4177839,0.0018194936812072824,0.002452424671422112,0.0031811390161853663,0.024645850042104664,0.09396006724341197,1.1760910652149703,0.19328124266496038,2.1589008877649802,11.169738242563378,2.1512763384694082
s_course,1.0,0.011170873855879464,0.38143986,0.6668960895589106,1752.5343505,1034.95656458,1.6933409676097886,46.63086862,0.0036213741207434635,0.004885051601303745,0.006331483657616835,0.024881236691345905,0.0875165532201766,1.1914089160871804,0.21222432067109365,2.170593511503267,10.22782640858238,2.077819660390951
s_course,-1.0,-0.011170873855879464,0.39088869,0.6834160929426861,1598.53288324,991.95773658,1.6114929339140052,41.10858643,0.003644862753076364,0.004911526727057454,0.006372550359591552,0.02483328539924685,0.09610703226791369,1.1707927763700303,0.1866250412976731,2.1549605114423875,11.547006213411384,2.1768273563777285
s_course,1.5,0.016756310783819197,0.37908763,0.6627835330244592,1848.66148658,1046.30049686,1.7668552123676948,48.12528259,0.005423252902999222,0.007317783054136029,0.009481825401517267,0.025217409948367544,0.08536830101427577,1.1963136588474839,0.2182002327577024,2.1744270849372653,9.965283068015008,2.054347825213089
s_course,-1.5,-0.016756310783819197,0.39326096,0.6875636867111453,1599.63440728,981.86778466,1.6291749584532091,39.84999513,0.005476115282706764,0.007377355956940128,0.00957424813445278,0.025152518848042704,0.09825334297597206,1.1654026387841026,0.1797968993331267,2.1510083782350784,11.963545457197801,2.2029344559155106
s_course,2.0,0.022341747711758928,0.37673938,0.6586779349825905,1947.64742774,1057.86100641,1.8411184606847502,49.66267154,0.007219242021930517,0.009744057947492966,0.012621869864373445,0.02567363897819779,0.08322008956877902,1.201113537678106,0.22400922036504256,2.1782178549911695,9.72378659879077,2.0313610859881415
s_course,-2.0,-0.022341747711758928,0.39563728,0.6917183613577347,1600.83266258,972.07373461,1.6468222580072702,38.64417372,0.007313262425010136,0.009849974235910459,0.012786251843625815,0.025599838291525755,0.1004053117332993,1.1599239481053298,0.1727962313188609,2.1470516648917988,12.42533849554765,2.229612997398601
pressure,0.25,2.5,0.38630407,0.6754005039318429,1634.92072411,1015.04109401,1.6106941223937215,43.8343853,0.00011185842917860766,0.0001897356908965881,0.00019556935922589275,0.02460531647116113,0.09199470729986592,1.182513215869762,0.20284853683858683,2.162177894900937,10.659075626566892,2.1213815770442186
pressure,-0.25,-2.5,0.38600835,0.6748834774427803,1632.59578763,1010.87490665,1.6150324603865762,43.71693644,0.00011196610378266828,0.0001900554374386164,0.00019575761373184222,0.02457908519847204,0.09163015243463747,1.1800696758311051,0.19666758265257256,2.1634717690096377,11.00065267406864,2.131185354244311
pressure,0.5,5.0,0.38645179,0.6756587724052785,1636.0824127,1017.12446545,1.6085370751318604,43.89305372,0.00022361005383767673,0.0003791614401544809,0.0003909519851711424,0.024619129931170557,0.0921765493839995,1.1837238636415028,0.20591517969084783,2.161532547592158,10.497198656443832,2.11652697836683
pressure,-0.5,-5.0,0.38586034,0.6746247019435034,1631.43253539,1008.79209543,1.6172138370043414,43.65815551,0.00022403996185229796,0.0003804210101978859,0.0003917036212844301,0.024566671739605094,0.09144742995109265,1.1788370040195209,0.19355337090623892,2.1641206371328026,11.181002051269598,2.1361319858198478
pressure,1.0,10.0,0.38674696,0.6761748372936073,1638.40424131,1021.29175233,1.6042470112698988,44.01027973,0.00044679400166299795,0.0007570835034525976,0.0007811589815165865,0.024648143852492258,0.09253937737016446,1.18612374859858,0.21200240311377394,2.160245094083386,10.18971984446828,2.1069088146453363
pressure,-1.0,-10.0,0.38556405,0.6741066788864075,1629.10445194,1004.62704978,1.6216012223608276,43.54047943,0.00044851389912858245,0.0007621014000773942,0.0007841659899981932,0.024543258088775496,0.09108110941510209,1.1763490090302557,0.18727654473180344,2.165421473328708,11.562694497753485,2.1461220965100027
pressure,1.5,15.0,0.38704175,0.6766902378032476,1640.72401923,1025.45974938,1.5999887077206034,44.12735957,0.0006695544737365896,0.0011337959928047249,0.0011706255876918691,0.024678992924423285,0.09290106780662158,1.1884949528741866,0.21802775220126525,2.158962153547108,9.902235526210132,2.097407041292374
