factor,percent,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.16416714,0.27431553236885703,2167.27452118,1947.49040301,1.1128550455654656,91.60034986,0.0,0.0,0.0,nan,nan,0.8057985464902154,0.7678899637471213,0.8437071292333096,1.0987344138686466,0.06363469072047104
s_wale,0.25,0.0027500000000000003,0.16360541,0.2733769080863267,2166.65665825,1947.03592691,1.1127974724578114,91.81956195,0.000368887540143438,0.000561759563336469,0.0006163936458823927,nan,nan,0.8040502907223528,0.7670839240896238,0.8410166573550817,1.0963815443703913,0.06340526008731054
s_wale,-0.25,-0.0027500000000000003,0.16472574,0.2752489265693118,2167.96813101,1948.05960232,1.1128859345104762,91.39112786,0.00036758299511971854,0.0005586294859744001,0.0006142138128008116,nan,nan,0.807519371329745,0.7686542779783844,0.8463844646811058,1.1011250297170756,0.06386228363651565
s_wale,0.5,0.0055000000000000005,0.16304062,0.27243317068841255,2166.11600429,1946.69719946,1.1127133715972186,92.04867745,0.0007390513250172569,0.0011265790015795528,0.0012349198363936775,nan,nan,0.8022747727491328,0.7662363661338131,0.8383131793644527,1.0940660302959992,0.06317531272485552
s_wale,-0.5,-0.0055000000000000005,0.16528115,0.27617699043052657,2168.73602177,1948.7424795,1.1128900019290622,91.19198645,0.0007338323979195727,0.0011140691875283137,0.0012261992558609625,nan,nan,0.8092123103392687,0.7693767771997483,0.849047843478789,1.1035527307816781,0.06409009402656271
s_wale,1.0,0.011000000000000001,0.16190211,0.2705307742846178,2165.27214647,1946.37098924,1.1124663070093714,92.53629012,0.0014830882207552251,0.0022651575672566317,0.0024781703258426172,nan,nan,0.7986428845383244,0.7644175544197521,0.8328682146568966,1.0895461647124307,0.06271284840164938
s_wale,-1.0,-0.011000000000000001,0.16638217,0.27801674281610605,2170.48876897,1950.44498989,1.112817218747815,90.82432704,0.0014622183019849541,0.0022151388879481245,0.002443297677893937,nan,nan,0.8125142806935008,0.7706954696257866,0.8543330917612151,1.108522270380075,0.06453967055454592
s_wale,1.5,0.0165,0.1607521,0.26860916192431533,2164.75452968,1946.51955565,1.1121154798555952,93.06256549,0.0022318732576386865,0.003415225797440049,0.0037293547347475977,nan,nan,0.7949046358067948,0.7624353178330975,0.8273739537804922,1.0851726493100498,0.06224413817653786
s_wale,-1.5,-0.0165,0.1674697,0.27983395404922556,2172.52099577,1952.58919526,1.1126359815182294,90.49817546,0.0021849355251114576,0.0033027387677653326,0.0036509240019810176,nan,nan,0.8157031356001281,0.7718452943693088,0.8595609768309472,1.1136441241548447,0.06498488654326857
s_wale,2.0,0.022000000000000002,0.15959111,0.2666692025029298,2164.57461079,1947.15032724,1.1116628133474364,93.62693365,0.0029851627155094013,0.004576263586966973,0.00498806581824246,nan,nan,0.7910625925728275,0.7602925951813304,0.8218325899643246,1.0809425149909777,0.06177354936946742
s_wale,-2.0,-0.022000000000000002,0.16854328,0.2816278554916248,2174.82093679,1955.16607605,1.1123458837746236,90.21440179,0.0029017677841080385,0.004376368931191708,0.00484871682913155,nan,nan,0.8187771928301107,0.772825223832717,0.8647291618275045,1.118919433735616,0.06542474907351735
s_course,0.25,0.0027500000000000003,0.16264811,0.27177730502851194,2189.2220438,1972.87589258,1.1096602944126792,92.9087363,0.0009546893521819161,0.0015191184392600629,0.0015952407886904866,nan,nan,0.8000995384273304,0.762515822526154,0.8376832543285069,1.0985781928476306,0.06299111678189234
s_course,-0.25,-0.0027500000000000003,0.16569189,0.2768633175588739,2145.6363675,1922.3928861,1.1161279169384042,90.30933214,0.000958887929148277,0.0015248405465818576,0.0016022564123757078,nan,nan,0.8114779127450138,0.773264555884805,0.8496912696052226,1.0988364372048147,0.06428387334528513
s_course,0.5,0.0055000000000000005,0.1611351,0.2692491368236604,2211.47794551,1998.54600266,1.1065434283557118,94.23444961,0.0019050093224783154,0.00303221471436307,0.003183180546748117,nan,nan,0.7943820931899799,0.7571422271572927,0.831621959222667,1.0983695392938393,0.062352055372016435
s_course,-0.5,-0.0055000000000000005,0.16722206,0.2794201593127404,2124.30853931,1897.58687711,1.119478936608844,89.0357281,0.001921800529124958,0.0030551032766340486,0.0032112378594989473,nan,nan,0.8171352187055956,0.7786386639842385,0.8556317734269526,1.0988816931447327,0.06493567634926989
s_course,1.0,0.011000000000000001,0.15812829,0.26422489941608907,2256.91075526,2050.7275116,1.100541511484933,96.93770373,0.003791863987040281,0.006039190787522763,0.006336025518110698,nan,nan,0.7829007661161236,0.7464011131632428,0.8194004190690043,1.0978017109277758,0.06108951060598593
s_course,-1.0,-0.011000000000000001,0.17029745,0.28455899065920753,2082.58752406,1848.86451995,1.1264143486924183,86.54095755,0.003858997612013019,0.006130675622245893,0.006448202632691898,nan,nan,0.8283769201122401,0.7893836708373532,0.867370169387127,1.0987941623710662,0.06625580057870882
s_course,1.5,0.0165,0.15514899,0.2592466299183897,2303.5643326,2104.01127833,1.0948440991382848,99.70983175,0.005659241414312952,0.009018648556973492,0.00945632494646091,nan,nan,0.7713691317892286,0.735671122391296,0.8070671411871613,1.0970488260621034,0.05984458305260243
s_course,-1.5,-0.0165,0.17339084,0.28972789915499114,2042.11849095,1801.3557878,1.1336563852519352,84.11646734,0.0058101712625349255,0.009224267078603054,0.009708521589865685,nan,nan,0.8395084444404566,0.8001195467589888,0.8788973421219243,1.098457531355205,0.06759185828931308
s_course,2.0,0.022000000000000002,0.15219939,0.2543179877170626,2351.42946979,2158.37577101,1.0894439704953052,102.55058993,0.0075058670741957895,0.01196840843681815,0.012541949152235297,nan,nan,0.7598017523427443,0.7249584507153358,0.7946450539701528,1.0961249616251185,0.05861937163583247
s_course,-2.0,-0.022000000000000002,0.17649972,0.29492269070871435,2002.90796493,1755.09692533,1.141195073630139,81.76274866,0.0077738855569246595,0.012333368037519202,0.012989795370269328,nan,nan,0.8505154988834099,0.810842940924481,0.8901880568423389,1.0978550985809814,0.06894270757767973
pressure,0.25,2.5,0.16442383,0.2747444492276374,2169.94931303,1949.4926145,1.113084141427508,91.6554706,0.00016024557606998002,0.0002567048443251549,0.0002677627843756729,nan,nan,0.8067916473510339,0.7687693847042962,0.8448139099977715,1.0989172134146907,0.06374646425526037
pressure,-0.25,-2.5,0.16391002,0.2738858970003985,2164.59985733,1945.48835494,1.1126254504858024,91.54517885,0.0001605043483530494,0.0002571349653392159,0.00026819518063105193,nan,nan,0.8048029865492419,0.7670081088960755,0.8425978642024082,1.098551442194172,0.06352237296140058
pressure,0.5,5.0,0.1646801,0.27517266428626713,2172.62422908,1951.49498583,1.1133127396460876,91.71054106,0.0003202329688190132,0.000512989807793495,0.0005350941566238359,nan,nan,0.8077823432923438,0.7696464942949154,0.8459181922897722,1.0990996497226047,0.06385775859015892
pressure,-0.5,-5.0,0.16365248,0.27345555983178926,2161.9253253,1943.48647394,1.1123953545800411,91.48995764,0.0003212684580813815,0.0005146998544783112,0.0005368244102438277,nan,nan,0.8038048043499156,0.7661238108078469,0.8414857978919844,1.0983678956599343,0.06341242824369274
pressure,1.0,10.0,0.16519137,0.27602697229354695,2177.97441894,1955.50019373,1.1137684495881555,91.82053093,0.0006394390460067231,0.0010242897651543876,0.001068472425862864,nan,nan,0.8097557996088096,0.7713932392422482,0.848118359975371,1.0994630453444096,0.06407950177201531
pressure,-1.0,-10.0,0.16313609,0.2725926965464817,2156.57667227,1939.48322793,1.1119336538793907,91.37936476,0.0006435789498860192,0.0010311095589703135,0.001075390009592499,nan,nan,0.8018004765102995,0.7643475494555989,0.8392534035650002,1.0979997308328553,0.06318880990454766
pressure,1.5,15.0,0.16570097,0.27687848980975127,2183.32506144,1959.50599864,1.1142221881205479,91.93031917,0.0009576256316769484,0.0015339097696409848,0.001600147172957543,nan,nan,0.8117195029059388,0.7731307086791378,0.8503082971327397,1.0998247613077698,0.06430245942990953
pressure,-1.5,-15.0,0.16261798,0.2717269592224616,2151.22859367,1935.48069492,1.1114699306049745,91.26857157,0.0009669407462351986,0.0015492491203482998,0.0016157122891502418,nan,nan,0.7997861190087402,0.7625618723064642,0.8370103657110162,1.0976294463547898,0.06296471117545831
pressure,2.0,20.0,0.1662089,0.2777272168348801,2188.67612798,1963.51237312,1.1146739679069184,92.0399055,0.001274799653694906,0.002041869923109706,0.002130129974043239,nan,nan,0.8136731861436567,0.774858554067199,0.8524878182201144,1.1001850773221034,0.06452271398762854
pressure,-2.0,-20.0,0.16209813,0.2708583144406743,2145.88112191,1931.47890551,1.1110041718749124,91.15757847,0.0012913613430264267,0.002069128676593103,0.0021578037742075334,nan,nan,0.7977612461542604,0.7607660635660999,0.8347564287424208,1.0972577099844467,0.06273908740634987
E1,0.25,12.5,0.16391066,0.27388696641015203,2170.01804927,1950.3570856,1.1126260238659962,91.77418005,0.00016010320967865832,0.0002564949514122792,0.00026752489686403627,nan,nan,0.8048054956656084,0.7670104504434786,0.8426005408877383,1.0985515782745257,0.06352377932603524
E1,-0.25,-12.5,0.16442448,0.2747455353469183,2164.53112109,1944.62388384,1.1130847147756688,91.42646941,0.00016064662976462838,0.00025734490202838683,0.00026843292614555443,nan,nan,0.8067942823593581,0.7687716795112978,0.8448168852074184,1.0989178031954325,0.0637463433924409
E1,0.5,25.0,0.16365504,0.2734598374708032,2172.76170818,1953.223934,1.1123976469663717,91.94796041,0.0003196666506163446,0.0005121297628531144,0.0005341478656714848,nan,nan,0.8038147479405767,0.7661325925083153,0.8414969033728381,1.098369801260876,0.06341175040665567
E1,-0.5,-25.0,0.16468267,0.27517695863480846,2161.78784614,1941.75752569,1.11331503420944,91.25253828,0.000321838851102527,0.0005155598994297506,0.0005377775100252775,nan,nan,0.8077921750745543,0.7696552665644817,0.8459290835846267,1.0991012734319474,0.0638586860915862
E1,1.0,50.0,0.16314634,0.27260982381206467,2178.24942974,1958.95813769,1.1119428168631453,92.29537327,0.000637184998925214,0.0010208589499044302,0.0010647060197163665,nan,nan,0.8018406060486438,0.7643832108393667,0.8392980012579209,1.0980068496484774,0.0631929573528673
E1,-1.0,-50.0,0.16520168,0.2760441998162943,2156.30166014,1936.02528271,1.1137776347226533,90.90452232,0.0006458757016935734,0.0010346003707712467,0.0010792277733179844,nan,nan,0.8097957111026368,0.7714286705650353,0.8481627516402385,1.099470092314561,0.06408417891943304
