factor,nominal,delta_abs,delta_rel,kind,status,crown_height_base,crown_height_plus,crown_height_minus,crown_height_half,crown_height_elast,crown_height_asym,max_stress_base,max_stress_plus,max_stress_minus,max_stress_half,max_stress_elast,max_stress_asym,H_apex_base,H_apex_plus,H_apex_minus,H_apex_half,H_apex_elast,H_apex_asym,L_pos_plus,L_pos_minus,L_pos_mean,L_pos_asym,L_pos_shape_mean
s_wale,1.1,0.05,0.045454545454545456,systematic+independent,estimate,0.16416714,-0.010637309999999983,0.009608620000000012,-0.010122964999999998,-1.3565761698717536,0.10161943659786866,2167.27452118,2.0262431799997103,23.179652280000028,-10.576704550000159,-0.10736411000361587,2.3831520811460467,0.8057985464902154,-0.035821474265184894,0.02682019347034481,-0.03132083386776485,-0.8551248300113355,0.28738956417453904,0.006332928389426274,0.005938701462455233,0.006135814925940754,0.06425013331225882,0.010252656761433603
s_course,1.1,0.05,0.045454545454545456,systematic+independent,estimate,0.16416714,-0.026450769999999985,0.02830617000000002,-0.027378470000000002,-3.6689823554214325,0.06776857874088882,2167.27452118,446.32283677999976,-344.2688603600002,395.29584857,4.012647490455004,0.25817113129111796,0.8057985464902154,-0.10491694331210544,0.09827970047530854,-0.10159832189370699,-2.7738484902922256,0.06532827228919033,0.015225954445322949,0.016486577496702966,0.01585626597101296,0.07950314744244188,0.026495071067331816
pressure,1000.0,50.0,0.05,systematic,estimate,0.16416714,0.005055100000000007,-0.005225540000000001,0.005140320000000004,0.6262300725955272,0.033157468795715794,2167.27452118,53.515396959999634,-53.46356651000042,53.48948173500003,0.49361058059111956,0.0009689839631648744,0.8057985464902154,0.0193927172406283,-0.020412429642631458,0.01990257344162988,0.4939838506365821,0.05123520357776219,0.0029056794632251717,0.003001000828311334,0.002953340145768253,0.032275782802311276,0.004934891808145869
E1,5000.0,500.0,0.1,systematic,estimate,0.16416714,-0.009637489999999999,0.011020310000000005,-0.010328900000000002,-0.6291697595511503,0.13387872861582614,2167.27452118,109.86933286999965,-109.66858868999998,109.76896077999982,0.5064838796712965,0.0018287881981684042,0.8057985464902154,-0.03793716705307715,0.04183154837718839,-0.03988435771513277,-0.4949668609959086,0.09764182118529263,0.005532508627933186,0.00633748421760156,0.005934996422767373,0.13563202609194328,0.00991709853335262
r,2.5014,0.25014,0.1,systematic,estimate,0.16416714,-0.0067056199999999955,0.0073849400000000065,-0.007045280000000001,-0.4291528743206467,0.09642200168056325,2167.27452118,129.7315479099998,-128.57232540000018,129.151936655,0.5959186775502789,0.008975649456159378,0.8057985464902154,-0.027255002005775242,0.029350513783305887,-0.028302757894540564,-0.35123863176246417,0.07403913729321573,0.0038144773856291494,0.004203178595288836,0.004008827990458992,0.09696130903715373,0.006698562114062131
R,0.6,0.005,0.008333333333333333,systematic,estimate,0.16416714,0.0022291700000000025,-0.00221963,0.0022244000000000014,1.6259526723801132,0.004288796978949183,2167.27452118,8.916429959999732,-8.915006800000356,8.915718380000044,0.4936551392748769,0.00015962370491912138,0.8057985464902154,-0.003386094295972475,0.0034146103379520953,-0.003400352316962285,-0.5063824944991123,0.008386202170069336,0.004011492221601981,0.004008501509725257,0.004009996865663619,0.0007458140185426028,0.0008221563256806693
