factor,multiple,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.16416714,0.27431553236885703,2167.27452118,1947.49040301,1.1128550455654656,91.60034986,0.0,0.0,0.0,nan,nan,0.8057985464902154,0.7678899637471213,0.8437071292333096,1.0987344138686466,0.06363469072047104
s_wale,0.25,0.0125,0.16158958,0.27000855142484675,2165.09813921,1946.36410293,1.112380841770933,92.67601035,0.0016868417226559521,0.002577693561655437,0.0028186327980883824,nan,nan,0.7976338692735866,0.7638931465588156,0.8313745919883576,1.0883388543718875,0.06258504768874397
s_wale,-0.25,-0.0125,0.16668012,0.27851460318493076,2171.01579096,1950.98634326,1.1127785688813903,90.73122474,0.0016598944814617811,0.002513115159498265,0.002773605231584814,nan,nan,0.8133953905451589,0.7710261327039615,0.8557646483863562,1.1099035585022519,0.06466148429655978
s_wale,0.5,0.025,0.1589534,0.2656036192312291,2164.62285728,1947.70016724,1.1113737595183306,93.95063806,0.0033978576998740678,0.0052140049284690885,0.005677659633070146,nan,nan,0.7889236860757103,0.7590565036643053,0.8187908684871152,1.0786955444482005,0.061513602984216056
s_wale,-0.5,-0.025,0.16912281,0.2825962227329237,2176.18409028,1956.75070572,1.1121417173473092,90.07781028,0.003290211062214405,0.004955941943253596,0.005497787188941998,nan,nan,0.8204054790379238,0.7732881771625543,0.8675227809132933,1.1218622067862416,0.0656631224474919
s_wale,1.0,0.05,0.15352983,0.25654109008020803,2169.30076436,1958.08142384,1.1078705604110053,97.07311576,0.006880700823552741,0.010637840248137754,0.011497325892890032,nan,nan,0.7699770722250305,0.7469848148329163,0.7929693296171448,1.0615601734748974,0.059321512695149216
s_wale,-1.0,-0.05,0.17377576,0.29037108228359665,2190.45417346,1974.64429505,1.1092905081441697,89.46333131,0.0064523748779119665,0.009609168812738189,0.010781613480492261,nan,nan,0.8326187399605602,0.7751884252905914,0.8900490546305292,1.1481712388789609,0.06757573393460195
s_wale,1.5,0.07500000000000001,0.14794689,0.24721226119104428,2182.29361567,1979.16788965,1.1026318823593693,100.93029716,0.010424103997885206,0.016221023923710845,0.017418185135272574,nan,nan,0.7492077203540932,0.7319720136527396,0.7664434270554468,1.0470938953399127,0.05708221673587823
s_wale,-1.5,-0.07500000000000001,0.17808625,0.29757370735899624,2212.57151529,2000.23584081,1.1061553193617482,89.8567995,0.009468712835456082,0.01391993912402638,0.015821771654826695,nan,nan,0.8424069321704981,0.7737031918658211,0.9111106724751752,1.1775971484336125,0.06935817588551041
s_wale,2.0,0.1,0.14225599,0.23770303624409125,2204.4460132,2011.30235456,1.0960291515604836,105.49625135,0.014002519285137491,0.02191214392579146,0.023397547963664826,nan,nan,0.7268987112082649,0.7143832253169233,0.7394141970996064,1.035038577188845,0.054817643752162665
s_wale,-2.0,-0.1,0.18202097,0.30414843852335954,2266.80160254,2032.52842137,1.1152619460111124,91.32866061,0.01232430445009764,0.017855711530669952,0.020593330287074548,nan,nan,0.849853982005496,0.7691579339446055,0.9305500300663865,1.209829592856289,0.07100260021844841
s_course,0.25,0.0125,0.15731293,0.2628624713901621,2269.51376676,2065.15107448,1.0989577444504677,97.68691905,0.0043031348821265135,0.006854594633506783,0.0071903350210373,nan,nan,0.7797600397191449,0.7434731707882356,0.816046908650054,1.0976144677619977,0.06074677974817785
s_course,-0.25,-0.0125,0.17113942,0.28596588273754064,2071.42606818,1835.78578084,1.1283593596809418,85.87274351,0.004389810240470261,0.006972709622291751,0.0073351654485353185,nan,nan,0.8314243322996462,0.7923126413910501,0.8705360232082423,1.0987279234619516,0.06661754335809857
s_course,0.5,0.025,0.15060378,0.25165179881590327,2378.04489692,2188.47751227,1.086620668289788,104.12894435,0.008503931941417683,0.013564086881648167,0.014209668376622261,nan,nan,0.7534825792063118,0.7191244832614448,0.7878406751511787,1.095555350275498,0.05795958980756432
s_course,-0.5,-0.025,0.1782011,0.29776561628116277,1982.05303126,1730.40590241,1.1454266472967538,80.50892849,0.008849771618891404,0.014034857240011403,0.014787550133230059,nan,nan,0.8564613223740883,0.8166848320291005,0.8962378127190762,1.0974096463776875,0.06968939936501488
s_course,1.0,0.05,0.13771637,0.2301175457674203,2613.59735796,2451.21877342,1.0662440196284255,118.06965164,0.016542937303101454,0.026452066193645426,0.027642466411030242,nan,nan,0.70088160317811,0.6709082336823331,0.7308549726738868,1.0893516221473856,0.052701854418165835
s_course,-1.0,-0.05,0.19247331,0.32161380468372697,1823.00566082,1540.63119888,1.1832849173412034,70.90082046,0.01791259909847285,0.02830817654829787,0.029931106540611527,nan,nan,0.904078246965524,0.865083888382411,0.943072605548637,1.0901516236905697,0.07606627913827758
s_course,1.5,0.07500000000000001,0.1256647,0.20997977476170143,2872.72999285,2734.15693536,1.050682188611004,133.40699624,0.024025200730717955,0.03850418210630502,0.0401449749853445,nan,nan,0.6492367412858102,0.6238254483117619,0.6746480342598585,1.0814692412527191,0.047884993794475764
s_course,-1.5,-0.07500000000000001,0.20674351,0.34545863447128405,1690.52865467,1383.38586263,1.2220225031475171,62.85502997,0.0270562846175286,0.04257971950279382,0.0452097729105878,nan,nan,0.9473348930575538,0.9127488955017886,0.9819208906133191,1.0757842550699586,0.08268970853923228
s_course,2.0,0.1,0.11455122,0.19140967490693975,3153.97952968,3035.91772936,1.0388883398183812,150.12659197,0.030894523570215337,0.04961797869404395,0.051623288804603776,nan,nan,0.5995710665614368,0.578461747823338,0.6206803852995355,1.0729843202857574,0.04351232738629533
s_course,-2.0,-0.1,0.22077763,0.3689089857360282,1584.67970856,1265.09414974,1.252618003874005,56.49792873,0.03615989172158357,0.05661541925456882,0.06042147014321152,nan,nan,0.9850883776955857,0.9593926672950436,1.0107840880961279,1.0535666182919448,0.0894501218023818
pressure,0.25,12.5,0.16544638,0.27645308195172447,2180.64968541,1957.50302329,1.11399556448447,91.87545027,0.0007986594876555274,0.0012793048029691952,0.0013345222590688051,nan,nan,0.810739019343609,0.7722632477401499,0.8492147909470683,1.0996441866579814,0.06419039790805771
pressure,-0.25,-12.5,0.16287726,0.2721602038488381,2153.90255916,1937.4818704,1.1117020458701474,91.32399318,0.0008051283983181829,0.001289964424703243,0.0013453315030641177,nan,nan,0.8007945906928842,0.7634560769129146,0.8381331044728537,1.0978144386012365,0.06307667007416368
pressure,0.5,25.0,0.16671517,0.27857317007846094,2194.02759068,1967.51929028,1.1151238015906646,92.14928967,0.0015909694509178504,0.0025481801227150397,0.0026584347629563286,nan,nan,0.8156169263977242,0.7765771355039066,0.8546567172915419,1.1005432406105684,0.06474324364041033
pressure,-0.5,-25.0,0.16157652,0.2699867287820649,2140.53429021,1927.47789096,1.1105363647745319,91.04638587,0.0016168484718894298,0.0025907780811755972,0.002701677383952243,nan,nan,0.7957254488791443,0.7589597330116655,0.8324911647466232,1.0968844966822864,0.06251468436633702
pressure,1.0,50.0,0.16922224,0.2827623655638424,2220.78991814,1987.56111544,1.1173442169341135,92.69317067,0.0031570088663840047,0.005055392441690371,0.005275212614871223,nan,nan,0.8251912637308437,0.7850320400341723,0.8653504874275152,1.102312317583683,0.06584092564043363
pressure,-1.0,-50.0,0.1589416,0.2655839019888994,2113.81095467,1907.48558449,1.1081661491219943,90.48744679,0.0032605751401390674,0.0052258338827597655,0.005448266963753579,nan,nan,0.785386116847584,0.7497749412602641,0.8209972924349037,1.0949916398311805,0.061380535416811904
pressure,1.5,75.0,0.17168985,0.2868856252541112,2247.55834651,2007.61279372,1.119517844048699,93.23197097,0.004699018178799814,0.007523166813423735,0.00785183730025636,nan,nan,0.8345319598212185,0.7932655053035619,0.8757984143388752,1.1040419739463272,0.06692818202689114
pressure,-1.5,-75.0,0.15626059,0.26110406098395633,2087.10910777,1887.51775236,1.1057427699212083,89.92359809,0.00493223292441324,0.007906987318941378,0.008241528118401908,nan,nan,0.7747686444100985,0.7403231615273332,0.8092141272928637,1.0930552620066676,0.060235260062702925
pressure,2.0,100.0,0.17411948,0.29094542215932223,2274.33009547,2027.67155701,1.1216461993596842,93.76567993,0.006217853226814278,0.00995295305503347,0.010389738885047118,nan,nan,0.843648098420961,0.8012863698537076,0.8860098269882144,1.105734304640643,0.06800406768450017
pressure,-2.0,-100.0,0.15353158,0.25654401424750267,2060.43394703,1867.57915296,1.1032645892220079,89.35492378,0.006632932006090462,0.010636138298654252,0.011083315908513336,nan,nan,0.7638596132143501,0.7305906228865864,0.7971286035421139,1.0910742330535723,0.059076009758141285
E1,0.25,125.0,0.16164023,0.27009318518111786,2194.71602333,1976.16497014,1.11059352659941,93.33645813,0.0015770936738120872,0.0025270545471358483,0.0026352489951845365,nan,nan,0.7959743282621883,0.7591805652151176,0.832768091309259,1.096930202728899,0.06254090731386135
E1,-0.25,-125.0,0.16677996,0.27868143110647287,2139.84580267,1918.83216116,1.115181330594537,89.85921358,0.0016314280344362042,0.0026129640770780047,0.0027260391439349278,nan,nan,0.8158654358547658,0.7767966181089304,0.8549342536006012,1.1005895670373702,0.06477221390865968
E1,0.5,250.0,0.15919451,0.26600650264632336,2222.17306107,2004.85815897,1.108394153036565,95.06794157,0.0031028358975286794,0.0049729100642681824,0.005184692144139075,nan,nan,0.7863827811484871,0.7506611153868089,0.8221044469101655,1.0951738808084424,0.06148949157653801
E1,-0.5,-250.0,0.1694838,0.2831994199624656,2112.42692608,1890.18773806,1.1175751929531064,88.11261451,0.0033204343454313052,0.005316978604940969,0.0055482888668391605,nan,nan,0.8261855408415429,0.7859092709525278,0.8664618107305581,1.1024959785502975,0.06595604239493573
E1,1.0,500.0,0.15452965,0.25821174204851927,2277.14385405,2062.30862877,1.104172199196069,98.51850371,0.00601104802260068,0.009638017365443993,0.010044177162460593,nan,nan,0.7678613794371383,0.7341634277686462,0.8015593311056304,1.091799592281274,0.05949904733616512
E1,-1.0,-500.0,0.17518745,0.29272994955685117,2057.60593249,1832.92916827,1.1225779850685993,84.60111381,0.006885650712253518,0.011020993205668904,0.011505596922976327,nan,nan,0.8476300948674038,0.8047854364395228,0.8904747532952849,1.1064747359679654,0.06847964973575137
E1,1.5,750.0,0.15014165,0.2508796014262574,2332.20544583,2119.85654204,1.1001713557397852,101.95472077,0.008744222473022896,0.01402623648155841,0.014611182498757055,nan,nan,0.7501666671833235,0.7183442703931012,0.7819890639735457,1.088599291737395,0.057645169549313105
E1,-1.5,-750.0,0.18132943,0.3029929078656752,2002.78389945,1775.68975724,1.127890664055515,81.06162403,0.010728119879746723,0.017163392510194508,0.017926181306013138,nan,nan,0.8702314766648837,0.8245948874953942,0.9158680658343731,1.1106885086520606,0.07123575740740835
E1,2.0,1000.0,0.14600398,0.24396575040335086,2387.37388525,2177.51414184,1.0963758348924746,105.37891252,0.011319186007577942,0.01816410146291854,0.0189138248717183,nan,nan,0.7332389401796724,0.7031575359041695,0.7633203444551754,1.0855609240874369,0.055912088584766435
E1,-2.0,-1000.0,0.18797177,0.3140919440873877,1947.9296657,1718.43995683,1.1335453752444973,77.48920601,0.014887036056681076,0.02380621812384951,0.024875533686478546,nan,nan,0.8941041422259819,0.8454252465142081,0.9427830379377555,1.1151583677267334,0.07426754183142759
r,0.25,0.062535,0.16243146,0.2714152931174333,2199.62911235,1980.56628173,1.1106061597840853,92.99826324,0.0010729196738888489,0.0017357841932682655,0.0017927980686746436,nan,nan,0.7987980016135612,0.7608038074400815,0.8367921957870408,1.0998790852567386,0.06287965829637718
r,-0.25,-0.062535,0.16594513,0.2772864696307019,2134.99031667,1914.47113956,1.1151854277420352,90.19890328,0.001099223011145713,0.0017780994094538205,0.0018367497021300025,nan,nan,0.8129300352940316,0.7751485307953024,0.8507115397927607,1.0974819740933142,0.06441383880122335
r,0.5,0.12507,0.16073637,0.26858287783771817,2232.042472,2013.6880015,1.1084351053079462,94.39272362,0.0021206243789167888,0.0034309733379028168,0.00354346311604707,nan,nan,0.7919245535063815,0.7538826794884865,0.8299664275242764,1.1009225309267128,0.06214306001911899
r,-0.5,-0.12507,0.16776729,0.28033121287506396,2102.78975741,1881.52088314,1.1176010727559573,88.7938497,0.002225910945859546,0.003600364648726572,0.0037193919935446735,nan,nan,0.8201960791595545,0.7825874949266863,0.8578046633924227,1.0961134300680115,0.06521655700650691
r,1.0,0.25014,0.15746152,0.2631107582577697,2297.00606909,2080.03277017,1.1043124425882325,97.17162905,0.004144414096414494,0.006706007936097298,0.006925120089287891,nan,nan,0.7785435444844402,0.7405069716151474,0.8165801173537329,1.1027311675036084,0.060732107149838364
r,-1.0,-0.25014,0.17155208,0.28665541809514833,2038.70219578,1815.88646946,1.1227035555731961,85.97266873,0.004566736372770386,0.0073854139902377915,0.00763080065404521,nan,nan,0.8351490602735213,0.7980416414510625,0.8722564790959801,1.0929961969277373,0.0668967349007769
r,1.5,0.37520999999999993,0.15433069,0.2578792892914078,2362.0982802,2146.46381855,1.1004603291173423,99.93778372,0.0060788332033289896,0.009837006126815208,0.010157442995916699,nan,nan,0.7656281957210453,0.7277119166260917,0.8035444748159989,1.1042068385268329,0.05939687151992167
r,-1.5,-0.37520999999999993,0.17553898,0.29331733957347467,1975.16013238,1750.72834756,1.1281933802767241,83.13641898,0.007033513655809512,0.011372591923576635,0.011752668913626758,nan,nan,0.8506931843642827,0.8143296698761696,0.8870566988523956,1.0893090742810405,0.0686881837277037
r,2.0,0.50028,0.15133326,0.2528707254205358,2427.26800442,2212.93562974,1.0968543195742129,102.69193361,0.007930506787698797,0.012834589745235325,0.013251502044942914,nan,nan,0.7531523522031592,0.7154517982128202,0.7908529061934982,1.105389500968518,0.05812678142069076
r,-2.0,-0.50028,0.17974803,0.30035046320294845,1912.3563975,1686.23247964,1.1341000844131979,80.28496854,0.009638988029656773,0.015581953213621854,0.01610629345709707,nan,nan,0.8668659508383562,0.831539863949736,0.9021920377269763,1.0849654680915106,0.07060391745874706
R,0.25,0.0005,0.1643902,0.274458951425919,2168.16839375,1948.15950255,1.1129316623777592,91.69532121,0.0003817005593750399,0.00047978039434724737,8.953662810377248e-05,nan,nan,0.8054578519474573,0.7675428901429515,0.8433728137519633,1.0987956824079093,0.06372471760580317
R,-0.25,-0.0005,0.16394418,0.27417204068906964,2166.38066221,1946.82132179,1.1127783726028473,91.50540327,0.0003816606532261434,0.00047976043031914433,8.957419475919516e-05,nan,nan,0.8061397465901968,0.7682374450670197,0.8440420481133739,1.0986734030384853,0.06354422927257032
R,0.5,0.001,0.16461336,0.274602297417166,2169.0622838,1948.82862202,1.113008224166845,91.79031815,0.0007634378598843079,0.0009595603052440222,0.0001790206404931221,nan,nan,0.8051174033419577,0.7671961703276784,0.843038636356237,1.0988566796366637,0.06381615049660912
R,-0.5,-0.001,0.16372131,0.2740284601396448,2165.48681586,1946.152257,1.1127016440111963,91.41048186,0.0007632858082493439,0.0009595087643685996,0.00017920259713690272,nan,nan,0.8064811401896022,0.7685852485726676,0.8443770318065368,1.0986120711718335,0.06345389333509283
R,1.0,0.002,0.16505996,0.2748887401459465,2170.85010204,1950.1669129,1.1131611800406522,91.98038719,0.0015270236094407155,0.001919155568316371,0.0003578424039237877,nan,nan,0.8044374250644344,0.7665037784032012,0.8423710717256675,1.098978368352619,0.06399695291243761
R,-1.0,-0.002,0.16327586,0.27374106242422347,2163.69916826,1944.8141852,1.1125480185848657,91.220715,0.0015264234633884676,0.001918974825395135,0.0003586045693499947,nan,nan,0.8071644845833508,0.7692812849760905,0.845047684190611,1.0984898511041712,0.06327367767631104
R,1.5,0.003,0.16550694,0.27517486205800795,2172.63797632,1951.50527587,1.1133139137179204,92.17055685,0.0022907586013390575,0.002878804549270408,0.000536472438728579,nan,nan,0.8037582549992378,0.7658120801596783,0.8417044298387973,1.099100486457846,0.06417791264923405
R,-1.5,-0.003,0.16283079,0.2734533377145187,2161.91158083,1943.47618723,1.1123941703197977,91.03104897,0.002289411369484364,0.002878396011218836,0.0005382001979246371,nan,nan,0.8078494012704001,0.7699791801206292,0.8457196224201708,1.0983668705011942,0.06309210422296418
R,2.0,0.004,0.16595431,0.275460681993834,2174.42590289,1952.84370677,1.1134664260902358,92.36082669,0.0030546425329389918,0.0038384852314552395,0.0007149106606921214,nan,nan,0.8030805469142271,0.7651220595369487,0.8410390342915056,1.0992220441278373,0.06435999679564955
R,-2.0,-0.004,0.16238611,0.2731653004733002,2160.12405529,1942.13826768,1.112240097029959,90.84148425,0.003052249602793722,0.003837775584020006,0.0007179903711190091,nan,nan,0.8085350672236897,0.7706779092274809,0.8463922252198987,1.0982437865233647,0.06291257266225753
