seam,n_seg,EA,rho,tension_only,L_pos_rms,L_pos_max,fit_mean,fit_max,crown,d_crown,T_max,T_sum,n_taut,stretch_mean,solves,status
R0|R1,17,0.1,1,1,8.610102594e-07,2.807524407e-06,0.006143139568,0.03310708906,0.3919720412,-7.665478455e-07,0.02985932226,0.1312234714,16,1.076768594,1,line_search_failed
R0|R1,17,0.3,1,1,2.582642449e-06,8.421196671e-06,0.00614314765,0.03310465094,0.3919705084,-2.299336989e-06,0.08956403839,0.3935841811,16,1.076751101,1,line_search_failed
R0|R1,17,1,1,1,8.603989024e-06,2.805385428e-05,0.006143177743,0.03309613165,0.3919651472,-7.660519511e-06,0.298384402,1.310942248,16,1.076689935,1,line_search_failed
R0|R1,17,3,1,1,2.577741347e-05,8.403508972e-05,0.006143279264,0.03307190721,0.3919498516,-2.29561659e-05,0.8937636652,3.924236656,16,1.076515671,1,success
R0|R1,17,10,1,1,8.549695212e-05,0.0002785815623,0.00614381448,0.03298848918,0.3918966158,-7.619195609e-05,2.963098629,12.98154348,16,1.075911666,1,success
R0|R1,17,30,1,1,0.0002528856959,0.0008228360164,0.00614687267,0.03276152361,0.391747015,-0.0002257927444,8.753640678,38.11811303,16,1.074234961,1,line_search_failed
R0|R1,17,100,1,1,0.000803158559,0.002601368532,0.006175220484,0.03208765364,0.3912513402,-0.0007214675791,27.68674746,118.266418,16,1.068883306,1,success
R0|R1,17,300,1,1,0.002118539133,0.006788824813,0.006352130344,0.03094178255,0.3900440881,-0.001928719717,72.25893675,296.0564179,15,1.056962592,1,success
R0|R1,17,1000,1,1,0.004921283894,0.01524334309,0.007168075215,0.03100643278,0.3873584659,-0.004614341859,162.6908933,630.9394176,14,1.033912951,1,success
R0|R1,17,3000,1,1,0.007750832945,0.02331668973,0.008360089464,0.03386406611,0.3845213169,-0.0074514909,247.3980152,922.0204614,14,1.013142166,1,success
R0|R1,17,10000,1,1,0.009605501273,0.02841183835,0.009261056002,0.03677364247,0.3826054873,-0.009367320472,298.8984833,1093.031332,14,1.000548943,1,success
R0|R1,17,30000,1,1,0.01029091038,0.0302603286,0.009611573853,0.03799151901,0.381887714,-0.01008509372,317.0880283,1152.867265,14,0.9960657156,1,line_search_failed
R0|R1,17,100000,1,1,0.01055177958,0.03095924782,0.009747130938,0.0384712684,0.3816132418,-0.01035956596,323.8908636,1175.201071,14,0.994381587,1,success
R0|R1,17,300000,1,1,0.0106284768,0.03116425839,0.009787199925,0.03861388373,0.381532414,-0.01044039376,325.8783535,1181.72251,14,0.9938887024,1,success
R0|R1,17,1000000,1,1,0.01065555419,0.03123658451,0.009801368845,0.03866439798,0.3815038642,-0.01046894353,326.5786572,1184.020039,14,0.9937149358,1,success
R0|R1,17,10000000,1,1,0.01066603093,0.03126456164,0.009806854247,0.03868396576,0.3814928158,-0.01047999194,326.8494266,1184.908322,14,0.9936477361,1,success
R0|R1,17,0.1,1,0,8.612183779e-07,2.808375315e-06,0.006143139663,0.03310708787,0.3919720411,-7.666813701e-07,0.0298593222,0.131940321,16,1.076768673,1,success
R0|R1,17,0.3,1,0,2.583327433e-06,8.423904889e-06,0.006143147935,0.03310464732,0.391970508,-2.299811773e-06,0.08956403763,0.3957376458,16,1.076751337,1,success
R0|R1,17,1,1,0,8.606804041e-06,2.806423987e-05,0.006143178706,0.03309611921,0.391965145,-7.662749489e-06,0.2983843861,1.318154395,16,1.076690721,1,success
R0|R1,17,3,1,0,2.578372674e-05,8.406060815e-05,0.006143282163,0.0330718709,0.3919498477,-2.296008469e-05,0.893763623,3.946163649,16,1.076518069,1,success
R0|R1,17,10,1,0,8.552022397e-05,0.0002786706842,0.006143824628,0.03298836216,0.3918966014,-7.620636377e-05,2.963098145,13.05797782,16,1.07591994,1,success
R0|R1,17,30,1,0,0.0002529755604,0.0008231373271,0.00614690768,0.03276109232,0.3917469596,-0.0002258481513,8.75363596,38.37500207,16,1.074262,1,success
R0|R1,17,100,1,0,0.0008037131154,0.002602729505,0.006175401582,0.03208568707,0.3912509981,-0.0007218096464,27.68668472,119.4052506,16,1.068993049,1,success
R0|R1,17,300,1,0,0.002122355493,0.00679519289,0.006353233852,0.03093273634,0.3900416228,-0.001931184958,72.25818191,301.1123441,15,1.057366843,1,success
R0|R1,17,1000,1,0,0.004935979475,0.01542275672,0.007176163156,0.03070521405,0.3873715225,-0.004601285294,163.0781527,667.5063434,14,1.036006812,1,success
R0|R1,17,3000,1,0,0.007823751958,0.02384006364,0.008396448187,0.03325087321,0.3845237171,-0.00744909064,248.9318405,1016.985324,14,1.017337896,1,success
R0|R1,17,10000,1,0,0.009749687743,0.02921900856,0.009333164567,0.03605531902,0.3825740411,-0.009398766627,301.5110859,1240.983929,14,1.006129974,1,success
R0|R1,17,30000,1,0,0.0104682027,0.03117962992,0.009700523403,0.03725557031,0.3818378068,-0.01013500098,320.1309112,1323.712887,14,1.002150713,1,line_search_failed
R0|R1,17,100000,1,0,0.0107426318,0.03192199665,0.009843001439,0.03773121963,0.3815554531,-0.01041735471,327.0987856,1355.282082,14,1.000657192,1,success
R0|R1,17,300000,1,0,0.01082341674,0.03213985396,0.009885158707,0.03787288221,0.381472218,-0.01050058974,329.1348011,1364.57628,14,1.000220228,1,success
R0|R1,17,1000000,1,0,0.01085194825,0.03221672316,0.009900070681,0.03792308668,0.3814428086,-0.01052999914,329.8522316,1367.859069,14,1.000066191,1,success
R0|R1,17,10000000,1,0,0.01086298915,0.03224645914,0.009905844393,0.03794253829,0.3814314263,-0.01054138152,330.1296269,1369.129463,14,1.000006624,1,line_search_failed
both,93,0.1,1,1,2.121072663e-06,5.568142647e-06,0.006143034772,0.03310528877,0.3919711753,-1.632494495e-06,0.02985871908,0.7783495057,88,1.082450488,1,success
both,93,0.3,1,1,6.362196971e-06,1.670180502e-05,0.006142834574,0.03309925148,0.3919679109,-4.896868175e-06,0.08955861117,2.334473979,88,1.082429521,1,success
both,93,1,1,1,2.11949156e-05,5.564061225e-05,0.006142149476,0.03307815106,0.3919564926,-1.631515298e-05,0.2983241522,7.774883986,88,1.082356212,1,success
both,93,3,1,1,6.347858699e-05,0.0001666473345,0.0061403258,0.03301812056,0.3919239286,-4.887916824e-05,0.8932230613,23.26743743,88,1.082147414,1,success
both,93,10,1,1,0.0002103641547,0.0005523038469,0.006135507847,0.03281099033,0.3918106483,-0.0001621595161,2.957151515,76.8975224,88,1.081424178,1,success
both,93,30,1,1,0.0006207282935,0.001629987252,0.006134930227,0.03224430702,0.3914928758,-0.0004799319942,8.701618557,225.2023587,88,1.07942061,1,success
both,93,100,1,1,0.001955109171,0.005134257809,0.006250044134,0.03053805463,0.3904469076,-0.0015259002,27.16327878,692.7463381,87,1.073071056,1,success
both,93,300,1,1,0.005044961091,0.01320903561,0.007110258788,0.02777018446,0.3879562245,-0.004016583258,68.67391838,1701.145249,82,1.059227622,1,success
both,93,1000,1,1,0.01106269344,0.02844418601,0.01008661113,0.02771096521,0.3828808026,-0.009092005121,145.0684658,3481.831851,74,1.034419831,1,success
both,93,3000,1,1,0.01638730056,0.04098906924,0.0133906848,0.0336558896,0.3782795642,-0.01369324359,209.4576905,4993.042423,75,1.013454276,1,success
both,93,10000,1,1,0.01957414326,0.04791722232,0.01556540429,0.03904515254,0.3755242364,-0.0164485714,246.7278154,5908.534225,73,1.001120232,1,success
both,93,30000,1,1,0.02071082018,0.05025518196,0.0163708379,0.04103644783,0.3745446237,-0.01742818404,259.7904054,6244.266652,72,0.9967002452,1,success
both,93,100000,1,1,0.021139497,0.05111668927,0.0166780772,0.04182291223,0.3741759119,-0.01779689588,264.6807799,6372.089769,72,0.9950331372,1,success
both,93,300000,1,1,0.02126519573,0.05136710449,0.01676850919,0.04205163084,0.3740679138,-0.01790489395,266.1107447,6409.683497,72,0.9945444645,1,success
both,93,1000000,1,1,0.02130953926,0.05145520279,0.01680044766,0.04213210875,0.3740298273,-0.01794298046,266.614764,6422.957778,72,0.9943720914,1,success
both,93,10000000,1,1,0.02132669204,0.05148924652,0.016812807,0.04216320952,0.3740150966,-0.01795771116,266.8096652,6428.094166,72,0.9943054176,1,success
both,93,0.1,1,0,2.121312319e-06,5.589888854e-06,0.00614303818,0.03310518292,0.3919711767,-1.631099681e-06,0.02985871247,0.7899083019,88,1.082450679,1,success
both,93,0.3,1,0,6.362841316e-06,1.676686696e-05,0.006142844797,0.03309893412,0.3919679152,-4.892595841e-06,0.08955855198,2.369153775,88,1.082430094,1,line_search_failed
both,93,1,1,0,2.119730553e-05,5.585870206e-05,0.006142183513,0.0330770929,0.3919565066,-1.630112625e-05,0.2983234982,7.890522918,88,1.082358123,1,success
both,93,3,1,0,6.348667409e-05,0.0001673085854,0.00614042763,0.03301494646,0.3919239701,-4.883764607e-05,0.8932172996,23.61469122,88,1.08215315,1,success
both,93,10,1,0,0.0002104019119,0.0005545882564,0.006135844046,0.03280041595,0.3918107799,-0.0001620278444,2.957092242,78.05886623,88,1.081443334,1,success
both,93,30,1,0,0.0006209362357,0.001637497867,0.00613591402,0.03221266999,0.3914932079,-0.000479599915,8.701199159,228.7167084,88,1.079478307,1,success
both,93,100,1,0,0.001957000607,0.005166037031,0.006253213562,0.03043483217,0.3904470833,-0.001525724475,27.16212746,704.7918633,87,1.07326428,1,success
both,93,300,1,0,0.005059426752,0.013341473,0.00712223575,0.02734586505,0.3879499653,-0.004022842497,68.71318529,1739.516101,82,1.059795479,1,success
both,93,1000,1,0,0.01116735281,0.02903045492,0.01015584458,0.02707206457,0.382813519,-0.009159288806,145.8529808,3641.400299,75,1.036301348,1,success
both,93,3000,1,0,0.01674552797,0.04246720264,0.01362020221,0.03442426977,0.3779669478,-0.01400585995,211.7439331,5389.851784,76,1.017159408,1,success
both,93,10000,1,0,0.02018904039,0.05016533972,0.01596469079,0.0405955926,0.3749531737,-0.01701963409,250.1167286,6525.913687,74,1.006056771,1,success
both,93,30000,1,0,0.02144113431,0.05282820494,0.01685001092,0.04300313271,0.3738590671,-0.01811374066,263.5448422,6960.835359,74,1.002128525,1,line_search_failed
both,93,100000,1,0,0.02191675308,0.05381878003,0.01719034473,0.04390024957,0.3734438951,-0.01852891269,268.5640463,7128.993417,74,1.000651028,1,success
both,93,300000,1,0,0.02205657371,0.05410771473,0.01729079716,0.04416208413,0.3733218875,-0.01865092031,270.030726,7178.748596,74,1.00021823,1,success
both,93,1000000,1,0,0.02210593816,0.05420947512,0.01732630538,0.04425431751,0.3732788164,-0.01869399139,270.5475738,7196.350129,74,1.000065598,1,success
both,93,10000000,1,0,0.02210593816,0.05420947512,0.01732630538,0.04425431751,0.3732788164,-0.01869399139,2705.475738,71963.50129,74,1.000065598,1,regularization_failed
