sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
3800,material_r_cable,3,True,1.2755834021938894,1.3720163112418189,62.523922428547294,561.9331276284463,14024.58797669901,1.1732476088066623,0.8523349994440845,16454.314308160778,0.4602960678388088,0.01203393,13731.60973947,11027.42007249,1114.67683218,421.72533101,680.70281621,1.224894976421692,1.2591756413039694,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03800_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03800_stress.csv,,0.05491613888137349,,0.05624003816549003,10222.731326086956,10810.808260416667,
3801,material_r_cable,3,True,1.0700327912140524,1.188659875460504,7.178190044420198,1455.0452407032217,18725.37460394221,4.003875352998781,0.2497580248723353,74974.06585239354,0.4227418216382442,0.02392266,27911.9860462,18342.80982281,2685.76868015,0.0,951.95386458,1.209918501269453,1.333731337338877,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03801_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03801_stress.csv,0.8345477082026812,0.05536283554519915,0.6607360686480882,0.05745819255507493,15039.603297777776,18401.825702127655,0.11623990191390911
3802,material_r_cable,3,True,1.0401941347087915,1.0880124290295168,83.68466189166583,1705.1083302308436,12514.426851977643,1.6659944648233074,0.6002420903037384,20848.965865830924,0.1792647284787006,0.17673368,3404.06480483,3000.10326649,0.0,0.0,141.92829721,1.382627424520998,1.3861352142425294,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03802_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03802_stress.csv,1.5638591069478773,0.05292625268392983,1.4621823560274207,0.05618027352237131,3284.1294244444443,2954.215456521739,0.033600580879180955
3803,material_r_cable,3,True,1.064828998211103,1.1315729669796657,78.31594335849793,1645.337595491772,15356.231331893094,2.103876877634992,0.4753129855793268,32307.62002678388,0.2381426020365459,0.10397816,5449.61804966,5207.05691488,0.0,0.0,264.21001777,1.3218637875676698,1.3410943181291086,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03803_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03803_stress.csv,1.2697089647059865,0.05287621383913438,1.0900522210104953,0.05573294594161412,5389.199893333334,5182.658939583333,0.07613344298691946
3804,material_r_cable,3,True,1.2650453671449018,0.9578172679958348,28.24504998329096,1776.0130120908643,8995.926186744713,4.579471827331958,0.2183657936340246,41196.590532955226,0.2765930458966694,0.1376354,4624.32823748,3006.66243339,274.39818944,491.40961722,174.09213006,1.3072802292408976,1.28246474927081,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03804_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03804_stress.csv,1.1250217092020702,0.05437454275688362,1.208729838618405,0.05501407754379923,3093.658635555555,3086.9716391304346,-0.035868483727203575
3805,material_r_cable,3,True,1.335775000803738,1.1709191363259883,4.536065835731559,1499.2918484921206,8626.739270951854,1.3281571397211676,0.7529229562474357,11457.665355227684,0.4543094999990936,0.06069431,7667.60173651,5360.097267,0.0,1373.76484888,329.896049,1.3350717539023709,1.2100155285089251,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03805_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03805_stress.csv,1.1280745450924459,0.05581801966244131,0.9207553969518336,0.053851932539246576,5342.107944444444,5143.723237499999,0.10118904643386535
3807,material_r_cable,3,True,1.3336722709596538,1.3638016479743758,15.571526835663668,279.04693726877224,7665.185608655075,2.645130672182877,0.3780531565099415,20275.417561428312,0.1409582866453682,0.00894973,10864.80663494,8443.49353301,243.30695387,1204.66979669,442.47942888,1.2686060470578426,1.2090562862520051,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03807_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03807_stress.csv,,0.056495577726972356,,0.0546382169658041,8045.144717777778,8828.691497872342,
3808,material_r_cable,3,True,1.2258361425408904,1.2856899919157507,18.27404165609525,537.3600050602715,8735.375117981792,2.654585597571661,0.3767066320689644,23188.80097758032,0.3982886148227524,0.01758772,10022.23520463,9302.69835008,0.0,220.58558031,508.71661523,1.2956668157075055,1.266072086271165,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03808_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03808_stress.csv,,0.05346508468441398,,0.05467299623116891,9303.871246666668,9255.487529166667,
3809,material_r_cable,3,True,0.9093663463266848,1.3936280442441265,46.23074844582691,1094.8095394524198,5782.413920462912,4.524555239951557,0.2210161987127616,26162.85120339929,0.2624665518225775,0.02849188,12510.6320643,12484.43856057,0.0,0.0,782.39598228,1.3834233072693036,1.3050484562002775,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03809_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03809_stress.csv,0.9018709311920096,0.052847160857845285,0.6830396202263277,0.05533521501699273,12490.81831777778,12490.032027083333,0.13807171058950274
3810,material_r_cable,3,True,1.26303973040234,0.8887442483346301,9.403663533582003,795.1302673900368,8319.158446071619,1.8937500557822544,0.5280527897262178,15754.40677130954,0.2006387045047675,0.12108443,3320.33775044,2944.21197042,30.60070786,98.39116374,153.41195216,1.3126553963068572,1.3024961459057989,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03810_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/03810_stress.csv,1.845083156647002,0.05377158940331955,3.016120087414666,0.07149578839073377,3006.064553333333,2781.9335416666668,-0.2408944600697729
