sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,r,r_binary,E2,nu,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_wale_lrest,cable_course_lrest,verts_path,stress_path
3533,material_r_nocable,3,False,0.9432794905430953,1.2367525760575542,84.69309670563632,922.1685834029456,12007.341866123981,2.9557095708720222,0.3383282342266701,35490.21527443498,0.2157371754279964,0.03754496,9489.88072926,9442.47775978,0.0,0.0,499.59408368,,,,
3534,material_r_nocable,3,False,1.136185060038832,1.2980150190699196,25.46576901449152,522.0574941757525,14795.0093720956,1.8479568801328958,0.5411381676438711,27340.539360794737,0.1371679272198922,0.01977146,8840.0421272,8830.80311986,0.0,0.0,476.76534444,,,,
3535,material_r_nocable,3,False,1.2170158210697275,1.2827051505058094,33.47413282037868,1097.267153288023,4503.058292714202,4.601123818938732,0.21733820678415344,20719.1287686769,0.2981940920819318,0.05435851,7464.65265839,7405.6089244,0.0,0.0,361.7013147,,,,
3537,material_r_nocable,3,False,1.3482170527957038,1.0633503305774556,32.70504497742128,933.6386546241915,19136.643750480252,3.2058723678216654,0.31192757704184043,61349.6374125118,0.30989861874752556,0.02588082,9432.33321646,9401.34005664,0.0,0.0,602.58702474,,,,
3539,material_r_nocable,3,False,1.1070056584235521,1.231761132008097,49.39224749359959,752.5996103219946,13919.893473555232,2.7698992204671997,0.3610239652803432,38556.7020813871,0.2659619420787421,0.02537232,10286.94934665,10266.08296107,0.0,0.0,536.00384905,,,,
3540,material_r_nocable,3,False,1.0915755673119345,1.3889048025512416,84.39710820081278,1812.0659611381645,13629.552101128516,1.8557529549536036,0.5388648296804147,25293.08158636334,0.1008730325593034,0.05601357,11397.73902922,11309.15191578,0.0,0.0,619.86642073,,,,
3541,material_r_nocable,3,False,1.2786109813656246,1.2151992295577987,54.53629040790199,747.9513455605871,5109.9023922888355,2.7841094348794346,0.35918128341938,14226.527461684342,0.1250042213003987,0.06914575,3476.08855297,3415.21245109,0.0,0.0,178.82040045,,,,
3542,material_r_nocable,3,False,1.2609094904997493,1.3689660592026067,71.95581551091847,382.16706668703534,7088.016533204952,3.265170068497972,0.3062627609042169,23143.579429239573,0.173733292114035,0.01369302,9927.2546187,9922.85242647,0.0,0.0,504.88553695,,,,
3543,material_r_nocable,3,False,1.2967240412827972,1.3073467182805023,39.538378484671945,1611.487667790226,3645.953691436308,1.3921538539370963,0.7183114116101024,5075.728482809239,0.11737245116432006,0.20378666,2581.9203736,2318.09436755,0.0,0.0,111.83270309,,,,
3544,material_r_nocable,3,False,0.8381899679981741,1.3461142963735244,40.663650734275706,1573.1918049405438,14295.092009198226,3.7597637772465133,0.26597415668820457,53746.16912858957,0.1345851583153045,0.02446012,22092.78529681,22054.47320612,0.0,0.0,1369.30300116,,,,
